uni_address,ukprn,university,kiscourseid,degree_type,programme,salary_respondents,salary_lq,salary_median,salary_uq,overall_rating,student_experience_rating,student_outcomes_rating,option_sandwich_year,option_year_abroad,option_foundation_year,option_distance_learning,crseurl,supporturl,lturl,employurl,qs_uni_name,rank,previous_rank,size,academic_rep,employer_rep,staff_to_student_ratio,employment_outcomes,overall_score
"The Old Schools, Trinity Lane, Cambridge, CB2 1TN",10007788,University of Cambridge,UG_ASTX,BA,"Anglo-Saxon, Norse and Celtic",130,26153.846153846152,30038.46153846154,33673.07692307692,Gold,Gold,Gold,No,No,No,No,https://www.undergraduate.study.cam.ac.uk/courses/anglo-saxon-norse-celtic-ba-hons,https://www.undergraduate.study.cam.ac.uk/fees-and-finance/financial-support,https://www.undergraduate.study.cam.ac.uk/courses/anglo-saxon-norse-celtic-ba-hons,https://www.careers.cam.ac.uk/using-your-degree/using-your-degree-anglo-saxon-norse-and-celtic,University of Cambridge,6,5,L,100,100,100,100,97.2
"The Old Schools, Trinity Lane, Cambridge, CB2 1TN",10007788,University of Cambridge,UG_ACTX,BA,Archaeology,130,28307.69230769231,35769.230769230766,46326.92307692308,Gold,Gold,Gold,No,No,No,No,https://www.undergraduate.study.cam.ac.uk/courses/archaeology-ba-hons,https://www.undergraduate.study.cam.ac.uk/fees-and-finance/financial-support,https://www.undergraduate.study.cam.ac.uk/courses/archaeology-ba-hons,https://www.careers.cam.ac.uk/using-your-degree/using-your-degree-archaeology,University of Cambridge,6,5,L,100,100,100,100,97.2
"The Old Schools, Trinity Lane, Cambridge, CB2 1TN",10007788,University of Cambridge,UG_ARTX,BA,Architecture,10,25000,28000,33000,Gold,Gold,Gold,No,No,No,No,https://www.undergraduate.study.cam.ac.uk/courses/architecture-ba-hons,https://www.undergraduate.study.cam.ac.uk/fees-and-finance/financial-support,https://www.undergraduate.study.cam.ac.uk/courses/architecture-ba-hons,https://www.careers.cam.ac.uk/using-your-degree/using-your-degree-architecture,University of Cambridge,6,5,L,100,100,100,100,97.2
"The Old Schools, Trinity Lane, Cambridge, CB2 1TN",10007788,University of Cambridge,UG_AETX,BA,Asian and Middle Eastern Studies,35,26000,30500,36000,Gold,Gold,Gold,No,Yes,No,No,https://www.undergraduate.study.cam.ac.uk/courses/asian-middle-eastern-studies-ba-hons,https://www.undergraduate.study.cam.ac.uk/fees-and-finance/financial-support,https://www.undergraduate.study.cam.ac.uk/courses/asian-middle-eastern-studies-ba-hons,https://www.careers.cam.ac.uk/using-your-degree/using-your-degree-asian-and-middle-eastern-studies,University of Cambridge,6,5,L,100,100,100,100,97.2
"The Old Schools, Trinity Lane, Cambridge, CB2 1TN",10007788,University of Cambridge,UG_TMEX,BTh,Bachelor of Theology for Ministry,15,26000,27500,32000,Gold,Gold,Gold,No,No,No,No,http://www.theofed.cam.ac.uk/undergraduate/bth/,https://www.undergraduate.study.cam.ac.uk/fees-and-finance/financial-support,https://www.theofed.cam.ac.uk/undergraduate/bth/,https://www.theofed.cam.ac.uk/undergraduate/bth/,University of Cambridge,6,5,L,100,100,100,100,97.2
"The Old Schools, Trinity Lane, Cambridge, CB2 1TN",10007788,University of Cambridge,UG_CETX,MEng,Chemical Engineering and Biotechnology,10,32000,38000,44000,Gold,Gold,Gold,No,No,No,No,https://www.undergraduate.study.cam.ac.uk/courses/chemical-engineering-biotechnology-ba-hons-meng,https://www.undergraduate.study.cam.ac.uk/fees-and-finance/financial-support,https://www.undergraduate.study.cam.ac.uk/courses/chemical-engineering-biotechnology-ba-hons-meng,https://www.careers.cam.ac.uk/using-your-degree/using-your-degree-chemical-engineering,University of Cambridge,6,5,L,100,100,100,100,97.2
"The Old Schools, Trinity Lane, Cambridge, CB2 1TN",10007788,University of Cambridge,UG_CLTX,BA,Classics,15,25000,30000,33000,Gold,Gold,Gold,No,No,No,No,https://www.undergraduate.study.cam.ac.uk/courses/classics-ba-hons,https://www.undergraduate.study.cam.ac.uk/fees-and-finance/financial-support,https://www.undergraduate.study.cam.ac.uk/courses/classics-ba-hons,https://www.careers.cam.ac.uk/using-your-degree/using-your-degree-classics,University of Cambridge,6,5,L,100,100,100,100,97.2
"The Old Schools, Trinity Lane, Cambridge, CB2 1TN",10007788,University of Cambridge,UG_CLT4X,BA,Classics (4 years),15,25000,30000,33000,Gold,Gold,Gold,No,No,No,No,https://www.undergraduate.study.cam.ac.uk/courses/classics-ba-hons,https://www.undergraduate.study.cam.ac.uk/fees-and-finance/financial-support,https://www.undergraduate.study.cam.ac.uk/courses/classics-ba-hons,https://www.careers.cam.ac.uk/using-your-degree/using-your-degree-classics,University of Cambridge,6,5,L,100,100,100,100,97.2
"The Old Schools, Trinity Lane, Cambridge, CB2 1TN",10007788,University of Cambridge,UG_CSTX,BA,Computer Science,30,40000,45000,64000,Gold,Gold,Gold,No,No,No,No,https://www.undergraduate.study.cam.ac.uk/courses/computer-science-ba-hons-meng,https://www.undergraduate.study.cam.ac.uk/fees-and-finance/financial-support,https://www.undergraduate.study.cam.ac.uk/courses/computer-science-ba-hons-meng,https://www.careers.cam.ac.uk/using-your-degree/using-your-degree-computer-science,University of Cambridge,6,5,L,100,100,100,100,97.2
"The Old Schools, Trinity Lane, Cambridge, CB2 1TN",10007788,University of Cambridge,UG_DESTX,MDes,Design,95,32605.263157894737,36052.63157894737,46421.05263157895,Gold,Gold,Gold,No,No,No,No,https://www.undergraduate.study.cam.ac.uk/courses/design-ba-hons-mdes,https://www.undergraduate.study.cam.ac.uk/fees-and-finance/financial-support,https://www.undergraduate.study.cam.ac.uk/courses/design-ba-hons-mdes,https://www.careers.cam.ac.uk/,University of Cambridge,6,5,L,100,100,100,100,97.2
