kiscourseid,ukprn,url,coursetitle,modules,a_level_reqs,a_level_grades,ib_grades,overview_text
UG_ASTX,10007788,https://www.undergraduate.study.cam.ac.uk/courses/anglo-saxon-norse-celtic-ba-hons,"Anglo-Saxon, Norse, and Celtic, BA (Hons)","You study the various disciplines which form the core of the course. 
There are no compulsory papers. You choose 6 historical, language and literature subjects, from a choice of 10. You will take an examination in 4 of them. 
Historical subjects:

Anglo-Saxon history
Scandinavian history
Gaelic history (Scotland, Ireland and the Isle of Man)
Brittonic history (Wales, Brittany, Cornwall, the Pictish kingdoms and the North Britons)

Language and literature subjects:

Old English
Old Norse
medieval Welsh
medieval Irish
medieval Latin
palaeography (the study of manuscripts and handwriting)","A level: A*AA
IB: 41-42 points, with 776 at Higher Level
Other qualifications: Check which other qualifications we accept
We don't ask for any specific subjects to apply to ASNC. We recommend these subjects for a strong application:

English (language or literature) 
History
Languages (ancient or modern)

College Entry Requirements
The following Colleges usually set offers at the minimum offer level. They may sometimes ask for higher grades or an A* in a particular subject:



Christ's
Clare
Corpus Christi
Downing
Emmanuel
Fitzwilliam
Girton
Gonville & Caius
Homerton




Hughes Hall
Jesus
King's
Magdalene
Murray Edwards
Newnham
Pembroke
Peterhouse
Queens'




Robinson
Sidney Sussex
St Catharine's
St Edmund's
St John's
Trinity
Trinity Hall
Wolfson



The following Colleges set extra conditions for most or all offers. For example, they may make a higher offer or specify an A* in a particular subject. However, some may occasionally set offers at the minimum level. For more information check the College websites:

Churchill
Lucy Cavendish
Selwyn

Colleges set additional offer requirements for a range of reasons. If you'd like to find out more about why we do this, check the information about offers above the minimum requirement on the entry requirements page.
IB offers
Some Colleges usually make offers above the minimum offer level. Find out more on our qualifications page.
Admission assessment
There is no admission assessment for this course.
Submitted work
You will need to submit 2 pieces of written work.

What ASNC students have studied
Most ASNC students (who had studied A levels and started at Cambridge in 2018, 2019 and 2023) achieved at least A*AA. Almost all had studied at least one of the subjects recommended above.
Other subjects taken include:

Ancient History, Classical Civilisation, Economics, Further Mathematics, Geography, Politics, History of Art, Law, Music, Philosophy, Psychology, Religious Studies, sciences (Biology, Chemistry or Physics) or Sociology.
Mathematics

This information shows some of the common subjects our applicants have studied. Although these are common subject combinations, this doesn't mean they're favoured. 
When you're choosing your post-16 subjects, it's most important to check whether any subjects are required for your course. You can also check our guidance on choosing your high school subjects for more information.


All undergraduate admissions decisions are the responsibility of the Cambridge Colleges. Please contact the relevant College admissions office if you have any queries.",A*AA,41,"Are you fascinated by medieval history, literature and languages? You can explore a range of medieval cultures on the Anglo-Saxon, Norse, and Celtic course. You’ll also have the chance to do your own research using original source materials."
UG_ACTX,10007788,https://www.undergraduate.study.cam.ac.uk/courses/archaeology-ba-hons,"Archaeology, BA (Hons)","You study 3 papers from several core archaeology, language and biological anthropology options. Some of these may be compulsory. 
Your fourth paper can be another core subject paper, or you can choose a psychology, social anthropology, politics and international relations or sociology option. 
Years 2 and 3 (Parts II)
You can study one of 4 subjects. Or you can combine them to study either Archaeology and Biological Anthropology or Assyriology and Egyptology. 
Subject 1: Archaeology
In year 2 you take 4 papers:

theory and practice in archaeology
data analysis
archaeology of a particular period or region
the fourth paper is either another period or region option, a biological anthropology paper or a paper chosen from another course such as Classics or Human, Social, and Political Sciences

You go on a 4-week study tour and/or fieldwork, before starting your third year. 
In year 3 you write a dissertation and study advanced archaeological thought and archaeology in the wider world. 
You also study additional options from within this track or from another course, such as Classics or Human, Social, and Political Sciences. 
Subject 2: Assyriology
In year 2 you take 4 papers:

Akkadian language
Mesopotamian archaeology
another paper on Mesopotamia
Sumerian language, when offered, or a paper chosen from another course like Classics or Human, Social, and Political Sciences

You go on a 4-week study tour and/or do fieldwork, before starting your third year. 
In year 3 you take 4 papers:

Akkadian language
Mesopotamian archaeology
another paper on Mesopotamia or Sumerian language (when offered) or another paper in Archaeology or from another course like Classics or Human, Social, and Political Sciences
the fourth paper is usually your dissertation

Subject 3: Egyptology
In year 2 you take 4 papers:

a paper in Egyptian language
2 papers on society, religion and death in Ancient Egypt
another paper in Archaeology or from another course like Classics or Human, Social, and Political Science

You go on a 4-week study tour and/or fieldwork, before starting your third year. 
In year 3 you take 3 papers:

Egyptian language
Egyptian archaeology
either Egyptian language or Egyptian archaeology

You will also write a dissertation. 
Subject 4: Biological Anthropology
In year 2 you take a paper on data analysis and interpretation, plus 2 or 3 Biological Anthropology papers. You’ll study core topics like:

human evolution
comparative human biology
human ecology and behaviour
your fourth paper can be from Archaeology or another course such as Psychological and Behavioural Sciences or Human, Social, and Political Sciences

In year 3 you take specialist papers, remaining core papers in Biological Anthropology, and write a dissertation. 
You also take further papers chosen from a range of areas, including:

archaeology
Psychological and Behavioural Sciences

For further information about this course and the papers you can take see the Department of Archaeology website. 
Changing course
It’s really important to think carefully about which course you want to study before you apply.  
In rare cases, it may be possible to change course once you’ve joined the University. You will usually have to get agreement from your College and the relevant departments. It’s not guaranteed that your course change will be approved. 
You might also have to:

take part in an interview
complete an admissions test
produce some written work
achieve a particular grade in your current studies
do some catch-up work
start your new course from the beginning 

For more information visit the Department website. 
You can also apply to change to:

Management Studies at the Judge Business School

You can't apply to this course until you're at Cambridge. You would usually apply when you have completed 1 year or more of your original Cambridge course. 
You should contact your College’s Admissions Office if you’re thinking of changing your course. They will be able to give you advice and explain how changing courses works.","A level: A*AA
IB: 41-42 points, with 776 at Higher Level
Other qualifications: Check which other qualifications we accept.
We don't ask for any specific subjects to apply to Archaeology. We’d recommend certain subjects for a strong application, ideally any combination of arts, humanities, sciences or social sciences.",A*AA,41,"Archaeology at Cambridge is a dynamic course. You can study archaeology, Assyriology, biological anthropology and Egyptology.​

Explore human evolution and biology, ancient cultures and languages, early societies and how heritage affects identity and politics today. You can also choose a subject or 2 to specialise in."
UG_ARTX,10007788,https://www.undergraduate.study.cam.ac.uk/courses/architecture-ba-hons,"Architecture, BA (Hons) and MArch",,"A level: A*AA
IB: 41-42 points, with 776 at Higher Level
Other qualifications: Check which other qualifications we accept.
Some Colleges ask for specific subjects to apply to Architecture, whereas others don't. We recommend certain subjects for a strong application:    

Mathematics   
Art and Design   
Physics",A*AA,41,"Architecture at Cambridge combines the intellectual challenges of both arts and sciences with the opportunity for creative design.

Study history and philosophy of architecture, participatory practice, inclusivity, contemporary culture and urbanism. Alongside this you’ll learn about construction, structural design and environmental design."
UG_AETX,10007788,https://www.undergraduate.study.cam.ac.uk/courses/asian-middle-eastern-studies-ba-hons,"Asian and Middle Eastern Studies, BA (Hons)","Assessment
You are usually assessed at the end of each year through written and oral examinations, and/or coursework. 
If you take Japanese, some of your half-papers will be assessed at the end of the term that you study them. 
In your fourth year, you will be assessed on a dissertation of 12,000 words. 
You won't usually be able to resit any of your exams. 
Years 1 and 2 (Part I)
In your first year:

you study your chosen languages intensively, in both written and spoken forms
you take 4 to 6 introductory papers on East Asia or the Middle East, depending on the languages you’re studying

In your second year you continue to study your chosen languages. 

Classical language is compulsory if you’re taking Chinese or Japanese. You will also choose from a number of optional papers, some borrowed from other courses. 
In Japanese, this includes half-papers that last one term, which gives you even greater choice. 

The topics offered change from year to year but currently include:

Chinese – dynastic and modern China, Chinese thought, Chinese literature, classical Chinese, popular culture, Chinese politics, Chinese religions, globalisation in China, cinema, linguistics, Korean
Japanese – Classical Japanese, pre-modern and modern Japanese history, pre-modern and modern Japanese literature, Japanese society, Japanese politics since 1945, cinema, linguistics, Korean, Korean politics
Arabic, Hebrew, and Persian – literature (Arabic, Hebrew, Persian), classical Islamic civilisation, formation of the modern Middle East, the anthropology of Islam, Hebrew culture, Hindi, cinema, linguistics, Islam, Judaism","To apply to any of our Colleges for Asian and Middle Eastern Studies, if you would like to combine your chosen language with a European language you will need:  

A level/IB Higher Level in your chosen European language 

Robinson College only accepts applicants to Chinese and Japanese.",A*AA,41,"Asian and Middle Eastern Studies at Cambridge allows you to explore contemporary global cultures. You'll study language, culture and history in depth.

Explore a range of different languages and cultures, from Chinese, Japanese, and Korean to Arabic, Hebrew, Persian, Sanskrit, and Hindi. Spend a year abroad perfecting your language skills."
UG_TMEX,10007788,http://www.theofed.cam.ac.uk/undergraduate/bth/,Bachelor of Theology for Ministry,,,,,Students for whom English is a second language need an IELTS score of 7.0. See https://www.graduate.study.cam.ac.uk/international/international-qualifications for international equivalence.
UG_CETX,10007788,https://www.undergraduate.study.cam.ac.uk/courses/chemical-engineering-biotechnology-ba-hons-meng,"Chemical Engineering and Biotechnology, BA (Hons) and MEng","You will study:

Fundamental scientific topics such as cell biology, materials science and engineering principles
Introductory chemical engineering and biotechnology principles. For example, sustainability, process calculations, fluid mechanics, and chemical and biochemical product design
Chemistry from Part IA of Natural Sciences
Mathematics from Part IA of Natural Sciences

You will also:

complete an engineering design and manufacturing workshop
do the chemistry practical laboratory class from Part IA of Natural Sciences
undertake classes in computing skills, including process simulation
attend workshops on professional and transferable skills","To apply to any of our Colleges for Chemical Engineering and Biotechnology, you will need A levels/IB Higher Levels (or the equivalent) in: 

Mathematics 
Chemistry 
a third science/mathematics subject (Biology, Physics or Further Mathematics)

If you’re studying a science that’s not listed as your third subject, please contact the College you wish to apply to for advice.
If you’re studying IB Higher Level Mathematics, we ask for Analysis and Approaches for this course. If this isn’t an option at your school, contact the College you wish to apply to for advice.",A*A*A,41,"The Chemical Engineering and Biotechnology course at Cambridge looks at the challenge of how processes can make products in a sustainable way.

Chemical Engineers make chemical products from raw materials. Biotechnologists use living systems and organisms to make products. On the course, you'll learn the scientific principles used by both."
UG_CLTX,10007788,https://www.undergraduate.study.cam.ac.uk/courses/classics-ba-hons,"Classics, BA (Hons)","You study texts in the original Greek and Latin from the most familiar periods of ancient literature by central authors such as:

Homer
Euripides
Plato
Virgil
Ovid
Cicero

You also study elements of:

ancient history
archaeology
art
philosophy
philology
linguistics

You also study modern usages of the classical tradition, to build the broadest possible understanding of the ancient world and our relationship to it. 
Reading and language classes directed by specialist language teachers, as required, will extend your knowledge of the ancient languages. 
End of year exams will test your linguistic and literary comprehension and essay writing skills. You will also submit 2 essays on non-literary topics for assessment. 
Your language exams will be adapted to take into account your language ability when you started the course. This way your results will accurately reflect your progress over the course of the year.","To apply to any of our Colleges, you will need A level/IB Higher Level (or the equivalent) in: 

Latin 

If you do not study Latin, but instead study Classical Greek, contact your shortlisted College(s) before applying. You may also wish to consider Classics (4 years).",A*AA,41,"Classics at Cambridge is the study of ancient Greek and Roman cultures, language, literature, philosophy, ancient history, art and archaeology."
UG_CLT4X,10007788,https://www.undergraduate.study.cam.ac.uk/courses/classics-ba-hons,"Classics, BA (Hons)","You study texts in the original Greek and Latin from the most familiar periods of ancient literature by central authors such as:

Homer
Euripides
Plato
Virgil
Ovid
Cicero

You also study elements of:

ancient history
archaeology
art
philosophy
philology
linguistics

You also study modern usages of the classical tradition, to build the broadest possible understanding of the ancient world and our relationship to it. 
Reading and language classes directed by specialist language teachers, as required, will extend your knowledge of the ancient languages. 
End of year exams will test your linguistic and literary comprehension and essay writing skills. You will also submit 2 essays on non-literary topics for assessment. 
Your language exams will be adapted to take into account your language ability when you started the course. This way your results will accurately reflect your progress over the course of the year.","To apply to any of our Colleges, you will need A level/IB Higher Level (or the equivalent) in: 

Latin 

If you do not study Latin, but instead study Classical Greek, contact your shortlisted College(s) before applying. You may also wish to consider Classics (4 years).",A*AA,41,"Classics at Cambridge is the study of ancient Greek and Roman cultures, language, literature, philosophy, ancient history, art and archaeology."
UG_CSTX,10007788,https://www.undergraduate.study.cam.ac.uk/courses/computer-science-ba-hons-meng,"Computer Science, BA (Hons) and MEng","Years 2, 3 and 4: Estimated cost of core texts £150 to £250 per year.","To apply to any of our Colleges for Computer Science, you will need A levels/IB Higher Levels (or the equivalent) in: 

Mathematics 
Further Mathematics to AS or A level if your school offers it. Check the guidance on this page

If you’re studying IB, we ask for Analysis and Approaches for this course. If this isn’t an option at your school, please contact your shortlisted College(s) for advice.
Colleges usually require A* in Mathematics and/or Further Mathematics. Colleges may also require an A*/7 in specific subjects (usually Chemistry or Physics, if taken) as part of your offer.
If your school offers Further Mathematics to AS or A level, you should take it. Additional mathematics is helpful. All candidates are strongly encouraged to take up opportunities to develop their skills.
If you are not able to take Further Mathematics because it is not available at your school, contact your shortlisted College(s) before you apply. They will confirm whether you are eligible to apply to their College for Computer Science.",A*A*A,41,"Computer Science at Cambridge brings together disciplines including mathematics, engineering, the natural sciences, psychology and linguistics.

Study modern computer science, along with the underlying theory and foundations in economics, law and business."
UG_DESTX,10007788,https://www.undergraduate.study.cam.ac.uk/courses/design-ba-hons-mdes,"Design, BA (Hons) and MDes",,"To apply to any of our Colleges for Design, you will need an A level/IB Higher Level (or the equivalent) in: 

Mathematics (A* at A level/7 at Higher Level) 

If you’re studying IB, we ask for Analysis and Approaches for this course. If this isn’t an option at your school, please contact the College you wish to apply to for advice.",A*AA,41,"The Design course combines architecture, engineering, and material science in one degree. It will challenge you to think about global issues in the built environment, like climate change, and how to address them.

At Cambridge, you'll have the opportunity to design solutions to a range of environmental and social challenges."
