kiscourseid,ukprn,url,coursetitle,modules,a_level_reqs,a_level_grades,ib_reqs,ib_grades,overview_text
H401,10003270,https://www.imperial.ac.uk/study/courses/undergraduate/aeronautical-engineering/,Aeronautical Engineering,"Aerodynamics 1, Computing and Numerical Methods 1, Engineering Practice 1, Introduction to Aerospace, Materials 1, Mathematics 1, Mechanics, Structures 1, Thermodynamics and Heat Transfer","Minimum entry standard

A*A*AorA*AAA

To include:
• A*in Mathematics
• A/A*in Physics (A* is required if applying with three A-levels. At least an A is required if applying with four A-levels)
• Ain a third and/or fourth subject

Not accepted: General Studies and Critical ThinkingPreferred subjects:Further Mathematics is recommended but not essential.Science Practical Endorsement:If you are made an offer you will be required to achieve a pass in the practical endorsement in all science subjects that form part of the offer.",A*A*A,"Minimum entry standard

40 points

To include:
• 7in Mathematics* at higher level
• 7in Physics at higher level

Preferred Mathematics syllabus: *The Mathematics Analysis and Approaches or the Applications and Interpretation syllabi will be accepted at higher level, but Analysis and Approaches is preferred.",40,"Develop engineering, computational, and analytical skills, as well as the specific knowledge and experience required for careers in the aerospace industry.Before choosing to continue or transfer to another course, all students apply to this degree, MEng Aeronautical Engineering (H401).You'll gain a solid understanding of aerodynamics, lightweight structures, and structural mechanics, as well as flight mechanics.You will study mechatronics, flight mechanics, propulsion and turbomachinery during year two, as well as attend a flight-testing course at Cranfield University's National Flying Laboratory Centre.In years three and four, you can choose from an extensive range of optional modules on specialist topics, allowing you to focus on aeronautical engineering areas of interest and access cutting-edge research.A group project in year three gives you the chance to simulate the work of a design team to take a design concept through different stages.During year four, you will complete a variety of advanced modules and an individual research project to allow you to pursue your own research.Develop engineering, computational, and analytical skills, as well as the specific knowledge and experience required for careers in the aerospace industry.You'll gain a solid understanding of aerodynamics, lightweight structures, and structural mechanics, as well as flight mechanics.You will study mechatronics, flight mechanics, propulsion and turbomachinery during year two, as well as attend a flight-testing course at Cranfield University's National Flying Laboratory Centre.You'll choose from a variety of optional modules on speciality topics in your third year.A group project in year three gives you the chance to simulate the work of a design team to take a design concept through different stages.During your final year, you'll carry out an integrated year abroad where you can challenge yourself academically and culturally.In the four-year course, the year abroad replaces your final year at Imperial, with all of your studies carried out at the partner institution.Develop engineering, computational, and analytical skills, as well as the specific knowledge and experience required for careers in the aerospace industry.You'll gain a solid understanding of aerodynamics, lightweight structures, and structural mechanics, as well as flight mechanics.You will study mechatronics, flight mechanics, propulsion and turbomachinery during year two, as well as attend a flight-testing course at Cranfield University's National Flying Laboratory Centre.You'll choose from a variety of optional modules on speciality topics in your third, fourth and fifth years.A group project in year three gives you the chance to simulate the work of a design team to take a design concept through different stages.During your fourth year, you'll carry out an integrated year abroad where you can challenge yourself academically and culturally.This allows you to experience the full undergraduate education at Imperial along with the chance to expand on it abroad. The institutions we partner with offer a wide range of specialised subjects to choose from.The final year involves conducting a research project, either in conjunction with a Department's specialists and academics and their research group, or working with an internationally reputed engineering company.Develop engineering, computational, and analytical skills, as well as the specific knowledge and experience required for careers in the aerospace industry.Additionally, a year in industry also gives you a chance to consolidate your skills and learn from industry professionals.You'll gain a solid understanding of aerodynamics, lightweight structures, and structural mechanics, as well as flight mechanics.You will study mechatronics, flight mechanics, propulsion and turbomachinery during year two, as well as attend a flight-testing course at Cranfield University's National Flying Laboratory Centre.You'll choose from a variety of optional modules on speciality topics in your third and fifth years.A group project in year three gives you the chance to simulate the work of a design team to take a design concept through different stages.Between the third and fourth years of your degree, you complete an industrial placement with an aircraft manufacturer or Formula 1 racing team.The fifth year involves conducting a research project, either in conjunction with a Department's specialists and academics and their research group, or working with an internationally reputed engineering company."
C700,10003270,https://www.imperial.ac.uk/study/courses/undergraduate/biochemistry-bsc/,Biochemistry,"Admissions test – not required for 2026 entry, Selection, Interviews, Deferred entry, Second year entry, Important information, ATAS certificate, Transfer between courses, Transfer to Year Abroad / Language for Science","Minimum entry standard

AAA

To include:
• Ain Chemistry
• Ain Biology, Mathematics or Physics
• Ain a third subject

Not accepted: General Studies and Critical ThinkingScience Practical Endorsement:If you are made an offer you will be required to achieve a pass in the practical endorsement in all science subjects that form part of the offer.",AAA,"Minimum entry standard

38 points

To include:
• 6in Chemistry at higher level
• 6in Biology, Mathematics or Physics at higher level

Preferred Mathematics syllabus:The Mathematics Analysis and Approaches or the Applications and Interpretation syllabi will be accepted at higher level with no preference.",38,"Develop skills towards a career in the applied biochemistry and biotechnology industries on this three-year course.With teaching delivered through lectures and case studies from business leaders and academics, this course will prepare you for advanced study or a career in the field.You'll build familiarity with key aspects of both industries, including commercialising technology, entrepreneurship, and intellectual property and patents.Through laboratory and computational work, you'll acquire the skills required to design, carry out and analyse data from biochemical experiments.You'll also benefit from close interaction with the department's internationally leading research programme, with access to facilities including modern microscopes and tissue culture suites.Your third year offers increased freedom to follow your own interests in chosen subject areas.You'll choose from a wide range of optional modules on topics such as synthetic biology, cancer and bioinformatics. You'll then apply your expertise to a substantial project or dissertation.Your studies will be complemented by a Life Science Skills programme that will provide training in quantitative skills, programming, statistics, and scientific writing and presentation.Develop skills towards a career in the applied biochemistry and biotechnology industries on this three-year course.With teaching delivered through lectures and case studies from business leaders and academics, this course will prepare you for advanced study or a career in the field.You'll build familiarity with key aspects of both industries, including commercialising technology, entrepreneurship, and intellectual property and patents.Through laboratory and computational work, you'll acquire the skills required to design, carry out and analyse data from biochemical experiments.You'll also benefit from close interaction with the department's internationally leading research programme, with access to facilities including modern microscopes and tissue culture suites.Your third year will be spent carrying out research with an approved university abroad.This integrated year with a partner institution will enable you to challenge yourself in a different cultural environment.Your final year offers increased freedom to follow your own interests in chosen subject areas. You'll choose from a wide range of optional modules on topics such as synthetic biology, cancer and bioinformatics.You'll then apply your expertise to a substantial project or dissertation.Your studies will be complemented by a Life Science Skills programme that will provide training in quantitative skills, programming, statistics, and scientific writing and presentation.Develop skills towards a career in the applied biochemistry and biotechnology industries on this three-year course.With teaching delivered through lectures and case studies from business leaders and academics, this course will prepare you for advanced study or a career in the field.You'll build familiarity with key aspects of both industries, including commercialising technology, entrepreneurship, and intellectual property and patents.You'll also benefit from close interaction with the department's internationally leading research programme, with access to facilities including modern microscopes and tissue culture suites.Through laboratory and computational work, you'll acquire the skills required to design, carry out and analyse data from biochemical experiments.Your third year will be spent carrying out a year in industry, or embedded within a research setting.This usually takes place in an industrial, medical or other appropriate biochemical or biotechnological work environment.Your final year offers increased freedom to follow your own interests in chosen subject areas.You'll choose from a wide range of optional modules on topics such as synthetic biology, cancer and bioinformatics.You'll then apply your expertise to a substantial project or dissertation.Your studies will be complemented by a Life Science Skills programme that will provide training in quantitative skills, programming, statistics, and scientific writing and presentation."
C7R1,10003270,https://www.imperial.ac.uk/study/courses/undergraduate/biochemistry-language/#OptionA,Biochemistry with Language for Science,"Admissions test – not required for 2026 entry, Selection, Interviews, Deferred entry, Second year entry, Important information, ATAS certificate, Transfer between courses, Transfer to Year Abroad / Language for Science","Minimum entry standard

AAA

To include:
• Ain Chemistry
• Ain Biology, Mathematics or Physics
• Ain a third subject

Not accepted: General Studies and Critical ThinkingScience Practical Endorsement:If you are made an offer you will be required to achieve a pass in the practical endorsement in all science subjects that form part of the offer.Language requirement:AS level grade B or A level grade C or equivalent in your chosen language.",AAA,"Minimum entry standard

38 points

To include:
• 6in Chemistry at higher level
• 6in Biology, Mathematics or Physics at higher level

Preferred Mathematics syllabus:The Mathematics Analysis and Approaches or the Applications and Interpretation syllabi will be accepted at higher level with no preference.Language requirement:Grade 5 higher level, or grade 6 standard level in your chosen language.",38,"Advance your understanding of biochemistry on this four-year course, which includes a year spent with an approved university in France, Germany or Spain.You'll build familiarity with key aspects of the industry, including commercialising technology, entrepreneurship, and intellectual property and patents.The language element of this course will see you explore the theory and practice of translation. This includes opportunities to analyse the history, politics, science and technology of your chosen country.You'll also benefit from close interaction with the department's internationally leading research programme, with access to facilities including modern microscopes and tissue culture suites.Through laboratory and computational work, you'll acquire the skills required to design, carry out and analyse data from biochemical experiments.Your third year will be spent at a university in your chosen country, where you will attend lectures and conduct a research project as you experience a different cultural environment.The final year offers you increased freedom to follow your own interests in chosen subject areas. You'll choose from a wide range of optional modules on topics such as synthetic biology, cancer and bioinformatics.You'll then apply your expertise to a substantial project or dissertation.Your studies will be complemented by a dedicated Life Science Skills programme, where you'll be trained in quantitative skills, programming, statistics, and scientific writing and presentation.Advance your understanding of biochemistry on this four-year course, which includes a year spent with an approved university in France.You'll build familiarity with key aspects of the industry, including commercialising technology, entrepreneurship, and intellectual property and patents.The language element of this course will see you explore the theory and practice of translation. This includes opportunities to analyse the history, politics, science and technology of French-speaking countries.You'll also benefit from close interaction with the department's internationally leading research programme, with access to facilities including modern microscopes and tissue culture suites.Through laboratory and computational work, you'll acquire the skills required to design, carry out and analyse data from biochemical experiments.Your third year will be spent at a French-speaking university, where you will attend lectures and conduct a research project as you experience a different cultural environment.The final year offers you increased freedom to follow your own interests in chosen subject areas. You'll choose from a wide range of optional modules on topics such as synthetic biology, cancer and bioinformatics.You'll then apply your expertise to a substantial project or dissertation.Your studies will be complemented by a dedicated Life Science Skills programme, where you'll be trained in quantitative skills, programming, statistics, and scientific writing and presentation.Advance your understanding of biochemistry on this four-year course, which includes a year spent with an approved university in Germany.You'll build familiarity with key aspects of the industry, including commercialising technology, entrepreneurship, and intellectual property and patents.The language element of this course will see you explore the theory and practice of translation. This includes opportunities to analyse the history, politics, science and technology of German-speaking countries.You'll also benefit from close interaction with the department's internationally leading research programme, with access to facilities including modern microscopes and tissue culture suites.Through laboratory and computational work, you'll acquire the skills required to design, carry out and analyse data from biochemical experimentsYour third year will be spent at a German-speaking university, where you will attend lectures and conduct a research project as you experience a different cultural environment.The final year offers you increased freedom to follow your own interests in chosen subject areas.You'll choose from a wide range of optional modules on topics such as synthetic biology, cancer and bioinformatics. You’ll then apply your expertise to a substantial project or dissertation.Your studies will be complemented by a dedicated Life Science Skills programme, where you'll be trained in quantitative skills, programming, statistics, and scientific writing and presentation.Advance your understanding of biochemistry on this four-year course, which includes a year spent with an approved university in Spain.You'll build familiarity with key aspects of the industry, including commercialising technology, entrepreneurship, and intellectual property and patents.The language element of this course will see you explore the theory and practice of translation. This includes opportunities to analyse the history, politics, science and technology of Spanish-speaking countries.You'll also benefit from close interaction with the department's internationally leading research programme, with access to facilities including modern microscopes and tissue culture suites.Through laboratory and computational work, you'll acquire the skills required to design, carry out and analyse data from biochemical experimentsYour third year will be spent at a Spanish-speaking university, where you will attend lectures and conduct a research project as you experience a different cultural environment.The final year offers you increased freedom to follow your own interests in chosen subject areas.You'll choose from a wide range of optional modules on topics such as synthetic biology, cancer and bioinformatics. You'll then apply your expertise to a substantial project or dissertation.Your studies will be complemented by a dedicated Life Science Skills programme, where you'll be trained in quantitative skills, programming, statistics, and scientific writing and presentation."
C7R2,10003270,https://www.imperial.ac.uk/study/courses/undergraduate/biochemistry-language/#OptionB,Biochemistry with Language for Science,"Admissions test – not required for 2026 entry, Selection, Interviews, Deferred entry, Second year entry, Important information, ATAS certificate, Transfer between courses, Transfer to Year Abroad / Language for Science","Minimum entry standard

AAA

To include:
• Ain Chemistry
• Ain Biology, Mathematics or Physics
• Ain a third subject

Not accepted: General Studies and Critical ThinkingScience Practical Endorsement:If you are made an offer you will be required to achieve a pass in the practical endorsement in all science subjects that form part of the offer.Language requirement:AS level grade B or A level grade C or equivalent in your chosen language.",AAA,"Minimum entry standard

38 points

To include:
• 6in Chemistry at higher level
• 6in Biology, Mathematics or Physics at higher level

Preferred Mathematics syllabus:The Mathematics Analysis and Approaches or the Applications and Interpretation syllabi will be accepted at higher level with no preference.Language requirement:Grade 5 higher level, or grade 6 standard level in your chosen language.",38,"Advance your understanding of biochemistry on this four-year course, which includes a year spent with an approved university in France, Germany or Spain.You'll build familiarity with key aspects of the industry, including commercialising technology, entrepreneurship, and intellectual property and patents.The language element of this course will see you explore the theory and practice of translation. This includes opportunities to analyse the history, politics, science and technology of your chosen country.You'll also benefit from close interaction with the department's internationally leading research programme, with access to facilities including modern microscopes and tissue culture suites.Through laboratory and computational work, you'll acquire the skills required to design, carry out and analyse data from biochemical experiments.Your third year will be spent at a university in your chosen country, where you will attend lectures and conduct a research project as you experience a different cultural environment.The final year offers you increased freedom to follow your own interests in chosen subject areas. You'll choose from a wide range of optional modules on topics such as synthetic biology, cancer and bioinformatics.You'll then apply your expertise to a substantial project or dissertation.Your studies will be complemented by a dedicated Life Science Skills programme, where you'll be trained in quantitative skills, programming, statistics, and scientific writing and presentation.Advance your understanding of biochemistry on this four-year course, which includes a year spent with an approved university in France.You'll build familiarity with key aspects of the industry, including commercialising technology, entrepreneurship, and intellectual property and patents.The language element of this course will see you explore the theory and practice of translation. This includes opportunities to analyse the history, politics, science and technology of French-speaking countries.You'll also benefit from close interaction with the department's internationally leading research programme, with access to facilities including modern microscopes and tissue culture suites.Through laboratory and computational work, you'll acquire the skills required to design, carry out and analyse data from biochemical experiments.Your third year will be spent at a French-speaking university, where you will attend lectures and conduct a research project as you experience a different cultural environment.The final year offers you increased freedom to follow your own interests in chosen subject areas. You'll choose from a wide range of optional modules on topics such as synthetic biology, cancer and bioinformatics.You'll then apply your expertise to a substantial project or dissertation.Your studies will be complemented by a dedicated Life Science Skills programme, where you'll be trained in quantitative skills, programming, statistics, and scientific writing and presentation.Advance your understanding of biochemistry on this four-year course, which includes a year spent with an approved university in Germany.You'll build familiarity with key aspects of the industry, including commercialising technology, entrepreneurship, and intellectual property and patents.The language element of this course will see you explore the theory and practice of translation. This includes opportunities to analyse the history, politics, science and technology of German-speaking countries.You'll also benefit from close interaction with the department's internationally leading research programme, with access to facilities including modern microscopes and tissue culture suites.Through laboratory and computational work, you'll acquire the skills required to design, carry out and analyse data from biochemical experimentsYour third year will be spent at a German-speaking university, where you will attend lectures and conduct a research project as you experience a different cultural environment.The final year offers you increased freedom to follow your own interests in chosen subject areas.You'll choose from a wide range of optional modules on topics such as synthetic biology, cancer and bioinformatics. You’ll then apply your expertise to a substantial project or dissertation.Your studies will be complemented by a dedicated Life Science Skills programme, where you'll be trained in quantitative skills, programming, statistics, and scientific writing and presentation.Advance your understanding of biochemistry on this four-year course, which includes a year spent with an approved university in Spain.You'll build familiarity with key aspects of the industry, including commercialising technology, entrepreneurship, and intellectual property and patents.The language element of this course will see you explore the theory and practice of translation. This includes opportunities to analyse the history, politics, science and technology of Spanish-speaking countries.You'll also benefit from close interaction with the department's internationally leading research programme, with access to facilities including modern microscopes and tissue culture suites.Through laboratory and computational work, you'll acquire the skills required to design, carry out and analyse data from biochemical experimentsYour third year will be spent at a Spanish-speaking university, where you will attend lectures and conduct a research project as you experience a different cultural environment.The final year offers you increased freedom to follow your own interests in chosen subject areas.You'll choose from a wide range of optional modules on topics such as synthetic biology, cancer and bioinformatics. You'll then apply your expertise to a substantial project or dissertation.Your studies will be complemented by a dedicated Life Science Skills programme, where you'll be trained in quantitative skills, programming, statistics, and scientific writing and presentation."
C7R4,10003270,https://www.imperial.ac.uk/study/courses/undergraduate/biochemistry-language/#OptionC,Biochemistry with Language for Science,"Admissions test – not required for 2026 entry, Selection, Interviews, Deferred entry, Second year entry, Important information, ATAS certificate, Transfer between courses, Transfer to Year Abroad / Language for Science","Minimum entry standard

AAA

To include:
• Ain Chemistry
• Ain Biology, Mathematics or Physics
• Ain a third subject

Not accepted: General Studies and Critical ThinkingScience Practical Endorsement:If you are made an offer you will be required to achieve a pass in the practical endorsement in all science subjects that form part of the offer.Language requirement:AS level grade B or A level grade C or equivalent in your chosen language.",AAA,"Minimum entry standard

38 points

To include:
• 6in Chemistry at higher level
• 6in Biology, Mathematics or Physics at higher level

Preferred Mathematics syllabus:The Mathematics Analysis and Approaches or the Applications and Interpretation syllabi will be accepted at higher level with no preference.Language requirement:Grade 5 higher level, or grade 6 standard level in your chosen language.",38,"Advance your understanding of biochemistry on this four-year course, which includes a year spent with an approved university in France, Germany or Spain.You'll build familiarity with key aspects of the industry, including commercialising technology, entrepreneurship, and intellectual property and patents.The language element of this course will see you explore the theory and practice of translation. This includes opportunities to analyse the history, politics, science and technology of your chosen country.You'll also benefit from close interaction with the department's internationally leading research programme, with access to facilities including modern microscopes and tissue culture suites.Through laboratory and computational work, you'll acquire the skills required to design, carry out and analyse data from biochemical experiments.Your third year will be spent at a university in your chosen country, where you will attend lectures and conduct a research project as you experience a different cultural environment.The final year offers you increased freedom to follow your own interests in chosen subject areas. You'll choose from a wide range of optional modules on topics such as synthetic biology, cancer and bioinformatics.You'll then apply your expertise to a substantial project or dissertation.Your studies will be complemented by a dedicated Life Science Skills programme, where you'll be trained in quantitative skills, programming, statistics, and scientific writing and presentation.Advance your understanding of biochemistry on this four-year course, which includes a year spent with an approved university in France.You'll build familiarity with key aspects of the industry, including commercialising technology, entrepreneurship, and intellectual property and patents.The language element of this course will see you explore the theory and practice of translation. This includes opportunities to analyse the history, politics, science and technology of French-speaking countries.You'll also benefit from close interaction with the department's internationally leading research programme, with access to facilities including modern microscopes and tissue culture suites.Through laboratory and computational work, you'll acquire the skills required to design, carry out and analyse data from biochemical experiments.Your third year will be spent at a French-speaking university, where you will attend lectures and conduct a research project as you experience a different cultural environment.The final year offers you increased freedom to follow your own interests in chosen subject areas. You'll choose from a wide range of optional modules on topics such as synthetic biology, cancer and bioinformatics.You'll then apply your expertise to a substantial project or dissertation.Your studies will be complemented by a dedicated Life Science Skills programme, where you'll be trained in quantitative skills, programming, statistics, and scientific writing and presentation.Advance your understanding of biochemistry on this four-year course, which includes a year spent with an approved university in Germany.You'll build familiarity with key aspects of the industry, including commercialising technology, entrepreneurship, and intellectual property and patents.The language element of this course will see you explore the theory and practice of translation. This includes opportunities to analyse the history, politics, science and technology of German-speaking countries.You'll also benefit from close interaction with the department's internationally leading research programme, with access to facilities including modern microscopes and tissue culture suites.Through laboratory and computational work, you'll acquire the skills required to design, carry out and analyse data from biochemical experimentsYour third year will be spent at a German-speaking university, where you will attend lectures and conduct a research project as you experience a different cultural environment.The final year offers you increased freedom to follow your own interests in chosen subject areas.You'll choose from a wide range of optional modules on topics such as synthetic biology, cancer and bioinformatics. You’ll then apply your expertise to a substantial project or dissertation.Your studies will be complemented by a dedicated Life Science Skills programme, where you'll be trained in quantitative skills, programming, statistics, and scientific writing and presentation.Advance your understanding of biochemistry on this four-year course, which includes a year spent with an approved university in Spain.You'll build familiarity with key aspects of the industry, including commercialising technology, entrepreneurship, and intellectual property and patents.The language element of this course will see you explore the theory and practice of translation. This includes opportunities to analyse the history, politics, science and technology of Spanish-speaking countries.You'll also benefit from close interaction with the department's internationally leading research programme, with access to facilities including modern microscopes and tissue culture suites.Through laboratory and computational work, you'll acquire the skills required to design, carry out and analyse data from biochemical experimentsYour third year will be spent at a Spanish-speaking university, where you will attend lectures and conduct a research project as you experience a different cultural environment.The final year offers you increased freedom to follow your own interests in chosen subject areas.You'll choose from a wide range of optional modules on topics such as synthetic biology, cancer and bioinformatics. You'll then apply your expertise to a substantial project or dissertation.Your studies will be complemented by a dedicated Life Science Skills programme, where you'll be trained in quantitative skills, programming, statistics, and scientific writing and presentation."
C100,10003270,https://www.imperial.ac.uk/study/courses/undergraduate/biological-sciences/,Biological Sciences,"Admissions test – not required for 2026 entry, Selection, Interviews, Deferred entry, Second year entry, Important information, ATAS certificate, Transfer between courses, Transfer to Year Abroad / Language for Science","Minimum entry standard

AAA

To include:
• Ain Biology
• Ain Chemistry, Mathematics or Physics
• Ain a third subject

Not accepted: General Studies and Critical ThinkingScience Practical Endorsement:If you are made an offer you will be required to achieve a pass in the practical endorsement in all science subjects that form part of the offer.",AAA,"Minimum entry standard

38 points

To include:
• 6in Biology at higher level
• 6in Chemistry, Mathematics or Physics at higher level

Preferred Mathematics syllabus:The Mathematics Analysis and Approaches or the Applications and Interpretation syllabi will be accepted at higher level with no preference.",38,"Develop your appreciation of biology on this three-year course, where you'll build the key scientific skills required for ongoing research or a career in the life sciences.You'll examine the behaviour of living systems from the level of cells up to whole organisms and ecosystems. Through this work, you'll gain a detailed knowledge of the relationships, evolution, and key features of various organisms as you explore the diversity of life on earth.Your studies will be complemented by a dedicated Life Science Skills programme. This provides training in quantitative skills, programming, statistics, and scientific writing and presentation.The second year offers you the chance to specialise across a series of optional modules, in areas including ecology, molecular biology and stem cells.Laboratory, computational and field work will help you acquire the skills to design, carry out and analyse data from biological experiments.With access to the thriving research environment at Imperial, you'll be taught by world leaders as you learn how to solve complex real-world problems.Your studies culminate in the final year with an extensive research project. This work will enable you to progress your personal and professional identity as a life scientist.Develop your appreciation of biology on this four-year course, which incorporates a research year abroad.You'll examine the behaviour of living systems from the level of cells up to whole organisms and ecosystems. This will help you build the key scientific skills required for ongoing research or a career in the life sciences.Through this work, you'll gain a detailed knowledge of the relationships, evolution, and key features of certain organisms as you explore the diversity of life on earth.Your studies will be complemented by a dedicated Life Science Skills programme. This provides training in quantitative skills, programming, statistics, and scientific writing and presentation.The second year offers you the chance to specialise across a series of optional modules, in areas including ecology, molecular biology and stem cells.Laboratory, computational and field work will help you acquire the skills to design, carry out and analyse data from biological experiments.With access to the thriving research environment at Imperial, you'll be taught by world leaders in the field as you learn how to solve complex real-world problems.Your third year is spent with an approved university abroad, and is designed to help you develop linguistic skills as you experience a different cultural environment.Your studies culminate in the final year with an extensive research project. This work will enable you to enhance your personal and professional identity as a life scientist.Develop your appreciation of biology on this four-year course, which incorporates a year in industry or research.You'll examine the behaviour of living systems from the level of cells up to whole organisms and ecosystems. This will help you build the key scientific skills required for ongoing research or a career in the life sciences.Through this work, you'll gain a detailed knowledge of the relationships, evolution, and key features of certain organisms as you explore the diversity of life on earth.Your studies will be complemented by a dedicated Life Science Skills programme. You'll receive training in quantitative skills, programming, statistics, and scientific writing and presentation.The second year offers you the chance to specialise across a series of optional modules, in areas including ecology, molecular biology and stem cells.Laboratory, computational and field work will help you acquire the skills to design, carry out and analyse data from biological experiments.With access to the thriving research environment at Imperial, you'll be taught by world leaders in the field as you learn how to solve complex real-world problems.Your third year will see you integrate your academic work with practical experience and employment in industry or research institutes.Placements can be in areas as wide-ranging as the pharmaceutical industry, marine biology, or agriculture, and can take place either in the UK or overseas.Your studies culminate in the final year with an extensive research project. This work will enable you to enhance your personal and professional identity as a life scientist."
C1R1,10003270,https://www.imperial.ac.uk/study/courses/undergraduate/biological-sciences-language/#OptionA,Biological Sciences with Language for Science,"Admissions test – not required for 2026 entry, Selection, Interviews, Deferred entry, Second year entry, Important information, ATAS certificate, Transfer between courses, Transfer to Year Abroad / Language for Science","Minimum entry standard

AAA

To include:
• Ain Biology
• Ain Chemistry, Mathematics or Physics
• Ain a third subject

Not accepted: General Studies and Critical ThinkingScience Practical Endorsement:If you are made an offer you will be required to achieve a pass in the practical endorsement in all science subjects that form part of the offer.Language requirement:AS level grade B or A level grade C or equivalent in your chosen language.",AAA,"Minimum entry standard

38 points

To include:
• 6in Biology at higher level
• 6in Chemistry, Mathematics or Physics at higher level

Preferred Mathematics syllabus:The Mathematics Analysis and Approaches or the Applications and Interpretation syllabi will be accepted at higher level with no preference.Language requirement:Grade 5 higher level, or grade 6 standard level in your chosen language.",38,"Develop your appreciation of biology on this four-year course, which includes a year spent with an approved university in France, Germany or Spain.You'll examine the behaviour of living systems from the level of cells up to whole organisms and ecosystems. Through this work, you'll gain a detailed knowledge of the relationships, evolution, and key features of various organisms as you explore the diversity of life on earth.The language element of this course will see you explore the theory and practice of translation. This includes opportunities to analyse the history, politics, science and technology of your chosen country.Your studies will be complemented by a dedicated Life Science Skills programme. This provides training in quantitative skills, programming, statistics, and scientific writing and presentation.The second year offers you the chance to specialise across a series of optional modules, in areas including ecology, molecular biology and stem cells.Laboratory, computational and field work will help you acquire the skills to design, carry out and analyse data from biological experiments.With access to the thriving research environment at Imperial, you'll be taught by world leaders as you learn how to solve complex real-world problems.Your third year will be spent at a university in your chosen country, where you will attend lectures and conduct a research project as you experience a different cultural environment.Your final year sees your studies culminate with an extensive research project. This work will enable you to progress your personal and professional identity as a life scientist.Develop your appreciation of biology on this four-year course, which includes a year spent with an approved university in France.You'll examine the behaviour of living systems from the level of cells up to whole organisms and ecosystems. Through this work, you'll gain a detailed knowledge of the relationships, evolution, and key features of various organisms as you explore the diversity of life on earth.The language element of this course will see you explore the theory and practice of translation. This includes opportunities to analyse the history, politics, science and technology of French-speaking countries.Your studies will be complemented by a dedicated Life Science Skills programme. This provides training in quantitative skills, programming, statistics, and scientific writing and presentation.The second year offers you the chance to specialise across a series of optional modules, in areas including ecology, molecular biology and stem cells.Laboratory, computational and field work will help you acquire the skills to design, carry out and analyse data from biological experiments.With access to the thriving research environment at Imperial, you'll be taught by world leaders as you learn how to solve complex real-world problems.Your third year will be spent at a French-speaking university, where you will attend lectures and conduct a research project as you experience a different cultural environment.Your final year sees your studies culminate with an extensive research project. This work will enable you to progress your personal and professional identity as a life scientist.Develop your appreciation of biology on this four-year course, which includes a year spent with an approved university in Germany.You'll examine the behaviour of living systems from the level of cells up to whole organisms and ecosystems. Through this work, you'll gain a detailed knowledge of the relationships, evolution, and key features of various organisms as you explore the diversity of life on earth.The language element of this course will see you explore the theory and practice of translation. This includes opportunities to analyse the history, politics, science and technology of German-speaking countries.Your studies will be complemented by a dedicated Life Science Skills programme. This provides training in quantitative skills, programming, statistics, and scientific writing and presentation.The second year offers you the chance to specialise across a series of optional modules, in areas including ecology, molecular biology and stem cells.Laboratory, computational and field work will help you acquire the skills to design, carry out and analyse data from biological experiments.With access to the thriving research environment at Imperial, you’ll be taught by world leaders as you learn how to solve complex real-world problems.Your third year will be spent at a German-speaking university, where you will attend lectures and conduct a research project as you experience a different cultural environment.Your final year sees your studies culminate with an extensive research project. This work will enable you to progress your personal and professional identity as a life scientist.Develop your appreciation of biology on this four-year course, which includes a year spent with an approved university in Spain.You'll examine the behaviour of living systems from the level of cells up to whole organisms and ecosystems. Through this work, you'll gain a detailed knowledge of the relationships, evolution, and key features of various organisms as you explore the diversity of life on earth.The language element of this course will see you explore the theory and practice of translation. This includes opportunities to analyse the history, politics, science and technology of Spanish-speaking countries.Your studies will be complemented by a dedicated Life Science Skills programme. This provides training in quantitative skills, programming, statistics, and scientific writing and presentation.The second year offers you the chance to specialise across a series of optional modules, in areas including ecology, molecular biology and stem cells.Laboratory, computational and field work will help you acquire the skills to design, carry out and analyse data from biological experiments.With access to the thriving research environment at Imperial, you'll be taught by world leaders as you learn how to solve complex real-world problems.Your third year will be spent at a Spanish-speaking university, where you will attend lectures and conduct a research project as you experience a different cultural environment.Your final year sees your studies culminate with an extensive research project. This work will enable you to progress your personal and professional identity as a life scientist."
