uni_address,ukprn,university,kiscourseid,degree_type,programme,salary_respondents,salary_lq,salary_median,salary_uq,overall_rating,student_experience_rating,student_outcomes_rating,option_sandwich_year,option_year_abroad,option_foundation_year,option_distance_learning,crseurl,supporturl,lturl,employurl,qs_uni_name,rank,previous_rank,size,academic_rep,employer_rep,staff_to_student_ratio,employment_outcomes,overall_score
"Faculty Building, Exhibition Road, London, SW7 2AZ",10003270,Imperial College London,H401,MEng,Aeronautical Engineering,20,32000,35000,40000,Gold,Silver,Gold,No,No,No,No,https://www.imperial.ac.uk/study/courses/undergraduate/aeronautical-engineering/,https://www.imperial.ac.uk/study/fees-and-funding/undergraduate/bursaries-grants-scholarships/,https://www.imperial.ac.uk/study/courses/undergraduate/aeronautical-engineering/,https://www.imperial.ac.uk/careers/plan-your-career/destinations/undergraduates/,Imperial College London,2,2,L,99.6,100,99.3,95.9,99.4
"Faculty Building, Exhibition Road, London, SW7 2AZ",10003270,Imperial College London,C700,BSc,Biochemistry,20,29000,34000,39000,Gold,Silver,Gold,No,No,No,No,https://www.imperial.ac.uk/study/courses/undergraduate/biochemistry-bsc/,https://www.imperial.ac.uk/study/fees-and-funding/undergraduate/bursaries-grants-scholarships/,https://www.imperial.ac.uk/study/courses/undergraduate/biochemistry-bsc/,https://www.imperial.ac.uk/careers/plan-your-career/destinations/undergraduates/,Imperial College London,2,2,L,99.6,100,99.3,95.9,99.4
"Faculty Building, Exhibition Road, London, SW7 2AZ",10003270,Imperial College London,C7R1,BSc,Biochemistry with French for Science,20,29000,34000,39000,Gold,Silver,Gold,No,Yes,No,No,https://www.imperial.ac.uk/study/courses/undergraduate/biochemistry-language/#OptionA,https://www.imperial.ac.uk/study/fees-and-funding/undergraduate/bursaries-grants-scholarships/,https://www.imperial.ac.uk/study/courses/undergraduate/biochemistry-language/#OptionA,https://www.imperial.ac.uk/careers/plan-your-career/destinations/undergraduates/,Imperial College London,2,2,L,99.6,100,99.3,95.9,99.4
"Faculty Building, Exhibition Road, London, SW7 2AZ",10003270,Imperial College London,C7R2,BSc,Biochemistry with German for Science,20,29000,34000,39000,Gold,Silver,Gold,No,Yes,No,No,https://www.imperial.ac.uk/study/courses/undergraduate/biochemistry-language/#OptionB,https://www.imperial.ac.uk/study/fees-and-funding/undergraduate/bursaries-grants-scholarships/,https://www.imperial.ac.uk/study/courses/undergraduate/biochemistry-language/#OptionB,https://www.imperial.ac.uk/careers/plan-your-career/destinations/undergraduates/,Imperial College London,2,2,L,99.6,100,99.3,95.9,99.4
"Faculty Building, Exhibition Road, London, SW7 2AZ",10003270,Imperial College London,C7R4,BSc,Biochemistry with Spanish for Science,20,29000,34000,39000,Gold,Silver,Gold,No,Yes,No,No,https://www.imperial.ac.uk/study/courses/undergraduate/biochemistry-language/#OptionC,https://www.imperial.ac.uk/study/fees-and-funding/undergraduate/bursaries-grants-scholarships/,https://www.imperial.ac.uk/study/courses/undergraduate/biochemistry-language/#OptionC,https://www.imperial.ac.uk/careers/plan-your-career/destinations/undergraduates/,Imperial College London,2,2,L,99.6,100,99.3,95.9,99.4
"Faculty Building, Exhibition Road, London, SW7 2AZ",10003270,Imperial College London,C100,BSc,Biological Sciences,20,26000,30000,32000,Gold,Silver,Gold,No,No,No,No,https://www.imperial.ac.uk/study/courses/undergraduate/biological-sciences/,https://www.imperial.ac.uk/study/fees-and-funding/undergraduate/bursaries-grants-scholarships/,https://www.imperial.ac.uk/study/courses/undergraduate/biological-sciences/,https://www.imperial.ac.uk/careers/plan-your-career/destinations/undergraduates/,Imperial College London,2,2,L,99.6,100,99.3,95.9,99.4
"Faculty Building, Exhibition Road, London, SW7 2AZ",10003270,Imperial College London,C1R1,BSc,Biological Sciences with French for Science,20,26000,30000,32000,Gold,Silver,Gold,No,Yes,No,No,https://www.imperial.ac.uk/study/courses/undergraduate/biological-sciences-language/#OptionA,https://www.imperial.ac.uk/study/fees-and-funding/undergraduate/bursaries-grants-scholarships/,https://www.imperial.ac.uk/study/courses/undergraduate/biological-sciences-language/#OptionA,https://www.imperial.ac.uk/careers/plan-your-career/destinations/undergraduates/,Imperial College London,2,2,L,99.6,100,99.3,95.9,99.4
"Faculty Building, Exhibition Road, London, SW7 2AZ",10003270,Imperial College London,C1R2,BSc,Biological Sciences with German for Science,20,26000,30000,32000,Gold,Silver,Gold,No,Yes,No,No,https://www.imperial.ac.uk/study/courses/undergraduate/biological-sciences-language/#OptionB,https://www.imperial.ac.uk/study/fees-and-funding/undergraduate/bursaries-grants-scholarships/,https://www.imperial.ac.uk/study/courses/undergraduate/biological-sciences-language/#OptionB,https://www.imperial.ac.uk/careers/plan-your-career/destinations/undergraduates/,Imperial College London,2,2,L,99.6,100,99.3,95.9,99.4
"Faculty Building, Exhibition Road, London, SW7 2AZ",10003270,Imperial College London,C1R4,BSc,Biological Sciences with Spanish for Science,20,26000,30000,32000,Gold,Silver,Gold,No,Yes,No,No,https://www.imperial.ac.uk/study/courses/undergraduate/biological-sciences-language/#OptionC,https://www.imperial.ac.uk/study/fees-and-funding/undergraduate/bursaries-grants-scholarships/,https://www.imperial.ac.uk/study/courses/undergraduate/biological-sciences-language/#OptionC,https://www.imperial.ac.uk/careers/plan-your-career/destinations/undergraduates/,Imperial College London,2,2,L,99.6,100,99.3,95.9,99.4
"Faculty Building, Exhibition Road, London, SW7 2AZ",10003270,Imperial College London,BJ95,MEng,Biomaterials and Tissue Engineering,150,32100,36766.66666666666,45466.66666666666,Gold,Silver,Gold,No,No,No,No,https://www.imperial.ac.uk/study/courses/undergraduate/biomaterials-tissue-engineering-meng/,https://www.imperial.ac.uk/study/fees-and-funding/undergraduate/bursaries-grants-scholarships/,https://www.imperial.ac.uk/study/courses/undergraduate/biomaterials-tissue-engineering-meng/,https://www.imperial.ac.uk/careers/plan-your-career/destinations/undergraduates/,Imperial College London,2,2,L,99.6,100,99.3,95.9,99.4
