uni_address,ukprn,university,kiscourseid,degree_type,programme,salary_respondents,salary_lq,salary_median,salary_uq,overall_rating,student_experience_rating,student_outcomes_rating,option_sandwich_year,option_year_abroad,option_foundation_year,option_distance_learning,crseurl,supporturl,lturl,employurl,qs_uni_name,rank,previous_rank,size,academic_rep,employer_rep,staff_to_student_ratio,employment_outcomes,overall_score
"Houghton Street, London, WC2A 2AE",10004063,London School of Economics,NN34-UBAF,BSc,Accounting and Finance,100,35100,47900,64400,Silver,Silver,Gold,No,Yes,No,No,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-accounting-and-finance,https://www.lse.ac.uk/study-at-lse/undergraduate/fees-and-funding,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-accounting-and-finance,https://info.lse.ac.uk/current-students/careers/what-graduates-do,London School of Economics and Political Science (LSE),56,50,L,80.6,99.4,47.2,99.9,80.5
"Houghton Street, London, WC2A 2AE",10004063,London School of Economics,N321-UBACT2,BSc,Actuarial Science,35,35000,38000,43428.57142857143,Silver,Silver,Gold,No,Yes,No,No,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-actuarial-science,https://www.lse.ac.uk/study-at-lse/undergraduate/fees-and-funding,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-actuarial-science,https://info.lse.ac.uk/current-students/careers/what-graduates-do,London School of Economics and Political Science (LSE),56,50,L,80.6,99.4,47.2,99.9,80.5
"Houghton Street, London, WC2A 2AE",10004063,London School of Economics,N322-UBACTPY,BSc,Actuarial Science (with a Placement Year),35,35000,38000,43428.57142857143,Silver,Silver,Gold,No,Yes,No,No,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-actuarial-science,https://www.lse.ac.uk/study-at-lse/undergraduate/fees-and-funding,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-actuarial-science,https://info.lse.ac.uk/current-students/careers/what-graduates-do,London School of Economics and Political Science (LSE),56,50,L,80.6,99.4,47.2,99.9,80.5
"Houghton Street, London, WC2A 2AE",10004063,London School of Economics,ML16-UBANLL2,BA,Anthropology and Law,35,28142.85714285714,31142.85714285714,40071.42857142857,Silver,Silver,Gold,No,Yes,No,No,https://www.lse.ac.uk/study-at-lse/undergraduate/ba-anthropology-and-law,https://www.lse.ac.uk/study-at-lse/undergraduate/fees-and-funding,https://www.lse.ac.uk/study-at-lse/undergraduate/ba-anthropology-and-law,https://info.lse.ac.uk/current-students/careers/what-graduates-do,London School of Economics and Political Science (LSE),56,50,L,80.6,99.4,47.2,99.9,80.5
"Houghton Street, London, WC2A 2AE",10004063,London School of Economics,N3UD-UBDSC,BSc,Data Science,20,35000,38000,43000,Silver,Silver,Gold,No,Yes,No,No,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-data-science,https://www.lse.ac.uk/study-at-lse/undergraduate/fees-and-funding,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-data-science,https://info.lse.ac.uk/current-students/careers/what-graduates-do,London School of Economics and Political Science (LSE),56,50,L,80.6,99.4,47.2,99.9,80.5
"Houghton Street, London, WC2A 2AE",10004063,London School of Economics,L140-UBEM,BSc,Econometrics and Mathematical Economics,70,35500,52000,70000,Silver,Silver,Gold,No,Yes,No,No,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-econometrics-and-mathematical-economics,https://www.lse.ac.uk/study-at-lse/undergraduate/fees-and-funding,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-econometrics-and-mathematical-economics,https://info.lse.ac.uk/current-students/careers/what-graduates-do,London School of Economics and Political Science (LSE),56,50,L,80.6,99.4,47.2,99.9,80.5
"Houghton Street, London, WC2A 2AE",10004063,London School of Economics,V300-UBEH,BSc,Economic History,15,30500,34500,44000,Silver,Silver,Gold,No,Yes,No,No,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-economic-history,https://www.lse.ac.uk/study-at-lse/undergraduate/fees-and-funding,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-economic-history,https://info.lse.ac.uk/current-students/careers/what-graduates-do,London School of Economics and Political Science (LSE),56,50,L,80.6,99.4,47.2,99.9,80.5
"Houghton Street, London, WC2A 2AE",10004063,London School of Economics,V3L7-UBEHGY,BSc,Economic History and Geography,40,30187.5,33562.5,39937.5,Silver,Silver,Gold,No,Yes,No,No,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-economic-history-and-geography,https://www.lse.ac.uk/study-at-lse/undergraduate/fees-and-funding,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-economic-history-and-geography,https://info.lse.ac.uk/current-students/careers/what-graduates-do,London School of Economics and Political Science (LSE),56,50,L,80.6,99.4,47.2,99.9,80.5
"Houghton Street, London, WC2A 2AE",10004063,London School of Economics,L101-UBEC,BSc,Economics,70,35500,52000,70000,Silver,Silver,Gold,No,Yes,No,No,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-economics,https://www.lse.ac.uk/study-at-lse/undergraduate/fees-and-funding,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-economics,https://info.lse.ac.uk/current-students/careers/what-graduates-do,London School of Economics and Political Science (LSE),56,50,L,80.6,99.4,47.2,99.9,80.5
"Houghton Street, London, WC2A 2AE",10004063,London School of Economics,VL31-UBECEH,BSc,Economics and Economic History,85,34617.64705882353,48911.76470588235,65411.76470588235,Silver,Silver,Gold,No,Yes,No,No,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-economics-and-economic-history,https://www.lse.ac.uk/study-at-lse/undergraduate/fees-and-funding,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-economics-and-economic-history,https://info.lse.ac.uk/current-students/careers/what-graduates-do,London School of Economics and Political Science (LSE),56,50,L,80.6,99.4,47.2,99.9,80.5
