kiscourseid,ukprn,url,coursetitle,modules,a_level_subjects,a_level_grades,ib_subjects,ib_grades,overview_text
V118,10007774,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/history-ancient-and-modern,History (Ancient and Modern),"Four courses are taken:
One period of 
either
 Greek 
or
 Roman history
One of the periods of European/world history offered
The world of Homer and Hesiod; 
or
 Augustan Rome; 
or
 one of the History optional subjects
A text-based paper on Herodotus; 
or
 Sallust; 
or
 Approaches to history; 
or
 Historiography: Tacitus to Weber from the History syllabus 
or
 a Greek/Latin language paper",AAA,AAA,38 (including core points) with 666 at HL,38,"The Ancient and Modern History course enables students to study Afroeurasian history from the Bronze Age Mediterranean, through the Greco-Roman period, late antiquity, the Middle Ages and the early modern period, right up to British, European and World history in the present day. Fruitful comparisons between societies abound, and the methods by which we study them are mutually illuminating. You do not need to have a qualification in Latin or Greek to do this course and can learn either from scratch if you want to while here.

The extraordinary range of choices (more than 90 options) for this course reflects the breadth of interests of those who teach here. The Oxford Classics and History Faculties are world-famous for teaching and research. The people who will teach you here will often be leading researchers in their field, with lecturers encouraged to put on new courses which reflect their own interests.

Oxford also possesses exceptional library provision for History in:• the Bodleian Library• the History Faculty Library• the Bodleian Art, Archaeology and Ancient World Library and the Weston Library’s special collections• as well as a dedicated Classics Centre."
T601,10007774,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/asian-and-middle-eastern-studies,Asian and Middle Eastern Studies,,AAA,AAA,39 (including core points) with 666 at HL,39,"The Faculty of Asian and Middle Eastern Studies is unique for its focus on introducing students to civilisations that are different from the Western ones upon which the curriculum in most British schools and colleges is based.

The various courses offered by the Faculty present both the major traditions and cultural trends of the regions studied and, in most cases, their modern developments. All courses include a combination of linguistic, literary, historic and cultural studies. There is a wide range of options in fields such as art and archaeology, history, literature, philosophy, religion and modern social studies.

Asian and Middle Eastern Studies has a long history in Oxford. The Bodleian and other libraries possess extensive collections. These include the Nizami Ganjavi Library, the KB Chen China Centre Library and the Bodleian Japanese Library which contain significant collections in their respective fields.

Around the corner from the Faculty building on Pusey Lane is the Ashmolean Museum, which houses superb collections relevant to Asian and Middle Eastern Studies. Nearby are also the Leopold Muller Memorial Library at the Clarendon Institute for Hebrew and Jewish Studies material, and the Bodleian Art, Archaeology and Ancient World Library. The Bodleian Art, Archaeology and Ancient World Library contains the renowned Griffith Institute Archive, one of the finest collections in the world for the study of ancient Egypt and the Ancient Near East."
LV64,10007774,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/archaeology-and-anthropology,Archaeology and Anthropology,"Four core courses are taken:
Introduction to world archaeology
Introduction to anthropological theory
Perspectives on human evolution
The nature of archaeological and anthropological enquiry
Practical classes
Fieldwork",AAA,AAA,38 (including core points) with 666 at HL,38,"Archaeology and anthropology together encompass the study of humankind from the origins of the human species to the present day.

Both disciplines have a long history: archaeology grew from 18th-century antiquarianism, while anthropology began even earlier in the first days of colonial encounter.

Today, both subjects involve a range of sophisticated approaches shared with the arts, social sciences and physical sciences.

"">Video of Archaeology and Anthropology at Oxford University

Oxford’s distinctive combination of archaeology and anthropology, studied over three years, offers an unusually broad perspective on human societies from early prehistory to the present.

The course offers a comprehensive guide to the richness and diversity of human cultural experience throughout space and time.

By choosing to study here you will be able to:

• explore how humans evolved
• get to grips with major transformational processes in human history such as the development of farming, the emergence of towns and trading systems and the spread of world religions
• learn why societies structure their families, economies and political systems in the ways that they do
• investigate how material culture represents and reproduces beliefs and ideologies.

Five Oxford institutions specialise in these subjects:

• The School of Archaeology
• The School of Anthropology and Museum Ethnography
• The Ashmolean Museum
• The Pitt Rivers Museum
• The Oxford University Museum of Natural History.

All five institutions play a key role in the provision of teaching for the degree."
T9Q8,10007774,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/classics-and-asian-and-middle-eastern-studies,Classics and Asian and Middle Eastern Studies,,"AAA (with As in Latin and Greek, if taken)",AAA,"39 (including core points) with 666 at HL, including 6s at HL in Latin and Greek if taken",39,"This course allows you to combine the study of an Asian or Middle Eastern language and culture with Latin and/or Greek and the study of the ancient world.

There are two options: Classics with Asian and Middle Eastern Studies (Q8T9) and Asian and Middle Eastern Studies with Classics (T9Q8). In each case the subject mentioned first is the main subject (about two-thirds of the degree) and the second is an additional subject (about one-third of the degree).

This joint honours degree provides an exciting opportunity for students who want to focus on interdisciplinary studies. It enables students to explore the cultural development and crossover in places such as the Middle East, Iran, Egypt and India. You will study the relationship between the languages and cultures of the great monotheistic religions within their various Greek and Roman contexts.

Those who choose Arabic, Persian or Turkish as their main language for the Asian and Middle Eastern Studies with Classics degree will spend their second year undertaking immersive language study abroad.

"">Video of Classics and Oriental Studies at Oxford University

Please note that the course video on this page was filmed prior to the renaming of the course and of the Bodleian Art, Archaeology and Ancient World Library.

Oxford is ideally placed for the combined study of Classics and Asian and Middle Eastern Studies, not least due to the numerous and varied teaching staff in each faculty, and the resources of the Ashmolean Museum, the Bodleian Art, Archaeology and Ancient World Library and the China Centre. The Nizami Ganjavi Library has core collections comprising Islamic, South Asian and Jewish Studies.

Oxford has the largest Classics faculty in the world, with over sixty full-time academic staff-members. It has outstanding teaching, library and museum resources, including the Bodleian Art, Archaeology and Ancient World Library and other Bodleian Libraries, the Ashmolean Museum and a designated Classics Centre."
RR73,10007774,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages,Modern Languages,"Two-language course
Practical language work
Study of important works and/or topics in the literature of each language
One-language course:
Further options in addition to the above, including: film studies; literary theory (French); medieval studies (German/Spanish); key texts in French or German thought; short fiction (Spanish); Polish and Church Slavonic (Russian)",AAA,AAA,38 (including core points) with 666 at HL,38,"Studying Modern Languages provides both practical training in written and spoken language and an extensive introduction to literature and thought written in European languages.

As well as learning to write and speak the language(s) fluently, you can study a broad range of literature, or focus your studies on any period from the medieval to the present day.

A wide range of other options allow you to explore subjects including linguistics, philology, film or gender studies or (in French, German and Spanish) advanced translation.

"">Video of Modern Languages at Oxford University

Modern Languages have been taught in Oxford since 1724. The faculty is the largest in the country, with a total intake of more than 250 students a year (including joint courses).

Undergraduate students have access to the Taylor Institution Library, the biggest research library in Britain devoted to modern languages, and the University’s central library the Bodleian, as well as many online resources. The University’s well-equipped Language Centre has resources specifically tailored to the needs of Modern Language students.

Language is at the centre of the Oxford course, making up around 50% of both first-year and final examinations. The course aims to teach spoken fluency in colloquial and more formal situations, as well as the ability to write essays in the foreign language, and the ability to translate into and out of the foreign language with accuracy and sensitivity to a range of vocabulary, styles and registers. You will also develop your reading skills to a high level.

The study of literature gives you an understanding of other cultures that cannot be acquired solely through learning the language. It leads you into areas such as:

• gender studies
• popular culture
• theatre
• aesthetics
• anthropology
• art history
• ethics
• history
• philosophy
• politics
• psychology
• and religious studies.

These areas of study develop your skills as a critical reader, writer and thinker."
QR13,10007774,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages-and-linguistics,Modern Languages and Linguistics,"Modern Language
Practical language work (two papers)
Study of important works and/or topics in the literature of the language (two papers)
Linguistics
General linguistics
Phonetics and phonology
Morphology
Syntax
Semantics and pragmatics",AAA,AAA,38 (including core points) with 666 at HL,38,"This course allows students to study one modern language in depth together with linguistics, the study of language itself.

Part of your course will consist of developing your practical language skills to a high level, and you will also explore the literature and culture of the relevant language.

In your study of linguistics, you will be introduced to the analysis of the nature and structure of human language. This will include topics such as how words and sentences are formed, how we make and hear sounds, how languages change and vary and how language is organised in the brain, and you will apply these ideas to the study of your chosen language.

"">Video of Modern Languages and Linguistics at Oxford University

Please note that the course video refers to the Linguistics Aptitude Test, which is no longer part of the admissions process.

The Faculty of Linguistics, Philology, and Phonetics has particular expertise in:

• general linguistics
• phonetics
• phonology
• syntax and semantics
• psycholinguistics
• the history and structure of many individual European languages and language families.

All these combine to offer a mutually reinforcing package. On the one hand, the theoretical study of what human language is and how it works. On the other, the detailed study of issues of language structure and change applied to the specific language you are studying.

You will find a wide range of options available, allowing you to concentrate on those areas you find most exciting.

Undergraduate students have access to the Taylor Institution Library, the biggest research library in Britain devoted to modern languages, as well as to the University’s central library, the Bodleian, and many online resources. The University’s well-equipped Language Centre has study materials specifically tailored to the needs of Modern Language students."
RR53,10007774,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages,Modern Languages,"Two-language course
Practical language work
Study of important works and/or topics in the literature of each language
One-language course:
Further options in addition to the above, including: film studies; literary theory (French); medieval studies (German/Spanish); key texts in French or German thought; short fiction (Spanish); Polish and Church Slavonic (Russian)",AAA,AAA,38 (including core points) with 666 at HL,38,"Studying Modern Languages provides both practical training in written and spoken language and an extensive introduction to literature and thought written in European languages.

As well as learning to write and speak the language(s) fluently, you can study a broad range of literature, or focus your studies on any period from the medieval to the present day.

A wide range of other options allow you to explore subjects including linguistics, philology, film or gender studies or (in French, German and Spanish) advanced translation.

"">Video of Modern Languages at Oxford University

Modern Languages have been taught in Oxford since 1724. The faculty is the largest in the country, with a total intake of more than 250 students a year (including joint courses).

Undergraduate students have access to the Taylor Institution Library, the biggest research library in Britain devoted to modern languages, and the University’s central library the Bodleian, as well as many online resources. The University’s well-equipped Language Centre has resources specifically tailored to the needs of Modern Language students.

Language is at the centre of the Oxford course, making up around 50% of both first-year and final examinations. The course aims to teach spoken fluency in colloquial and more formal situations, as well as the ability to write essays in the foreign language, and the ability to translate into and out of the foreign language with accuracy and sensitivity to a range of vocabulary, styles and registers. You will also develop your reading skills to a high level.

The study of literature gives you an understanding of other cultures that cannot be acquired solely through learning the language. It leads you into areas such as:

• gender studies
• popular culture
• theatre
• aesthetics
• anthropology
• art history
• ethics
• history
• philosophy
• politics
• psychology
• and religious studies.

These areas of study develop your skills as a critical reader, writer and thinker."
RRJ7,10007774,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages,Modern Languages,"Two-language course
Practical language work
Study of important works and/or topics in the literature of each language
One-language course:
Further options in addition to the above, including: film studies; literary theory (French); medieval studies (German/Spanish); key texts in French or German thought; short fiction (Spanish); Polish and Church Slavonic (Russian)",AAA,AAA,38 (including core points) with 666 at HL,38,"Studying Modern Languages provides both practical training in written and spoken language and an extensive introduction to literature and thought written in European languages.

As well as learning to write and speak the language(s) fluently, you can study a broad range of literature, or focus your studies on any period from the medieval to the present day.

A wide range of other options allow you to explore subjects including linguistics, philology, film or gender studies or (in French, German and Spanish) advanced translation.

"">Video of Modern Languages at Oxford University

Modern Languages have been taught in Oxford since 1724. The faculty is the largest in the country, with a total intake of more than 250 students a year (including joint courses).

Undergraduate students have access to the Taylor Institution Library, the biggest research library in Britain devoted to modern languages, and the University’s central library the Bodleian, as well as many online resources. The University’s well-equipped Language Centre has resources specifically tailored to the needs of Modern Language students.

Language is at the centre of the Oxford course, making up around 50% of both first-year and final examinations. The course aims to teach spoken fluency in colloquial and more formal situations, as well as the ability to write essays in the foreign language, and the ability to translate into and out of the foreign language with accuracy and sensitivity to a range of vocabulary, styles and registers. You will also develop your reading skills to a high level.

The study of literature gives you an understanding of other cultures that cannot be acquired solely through learning the language. It leads you into areas such as:

• gender studies
• popular culture
• theatre
• aesthetics
• anthropology
• art history
• ethics
• history
• philosophy
• politics
• psychology
• and religious studies.

These areas of study develop your skills as a critical reader, writer and thinker."
RR43,10007774,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages,Modern Languages,"Two-language course
Practical language work
Study of important works and/or topics in the literature of each language
One-language course:
Further options in addition to the above, including: film studies; literary theory (French); medieval studies (German/Spanish); key texts in French or German thought; short fiction (Spanish); Polish and Church Slavonic (Russian)",AAA,AAA,38 (including core points) with 666 at HL,38,"Studying Modern Languages provides both practical training in written and spoken language and an extensive introduction to literature and thought written in European languages.

As well as learning to write and speak the language(s) fluently, you can study a broad range of literature, or focus your studies on any period from the medieval to the present day.

A wide range of other options allow you to explore subjects including linguistics, philology, film or gender studies or (in French, German and Spanish) advanced translation.

"">Video of Modern Languages at Oxford University

Modern Languages have been taught in Oxford since 1724. The faculty is the largest in the country, with a total intake of more than 250 students a year (including joint courses).

Undergraduate students have access to the Taylor Institution Library, the biggest research library in Britain devoted to modern languages, and the University’s central library the Bodleian, as well as many online resources. The University’s well-equipped Language Centre has resources specifically tailored to the needs of Modern Language students.

Language is at the centre of the Oxford course, making up around 50% of both first-year and final examinations. The course aims to teach spoken fluency in colloquial and more formal situations, as well as the ability to write essays in the foreign language, and the ability to translate into and out of the foreign language with accuracy and sensitivity to a range of vocabulary, styles and registers. You will also develop your reading skills to a high level.

The study of literature gives you an understanding of other cultures that cannot be acquired solely through learning the language. It leads you into areas such as:

• gender studies
• popular culture
• theatre
• aesthetics
• anthropology
• art history
• ethics
• history
• philosophy
• politics
• psychology
• and religious studies.

These areas of study develop your skills as a critical reader, writer and thinker."
RR97,10007774,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages,Modern Languages,"Two-language course
Practical language work
Study of important works and/or topics in the literature of each language
One-language course:
Further options in addition to the above, including: film studies; literary theory (French); medieval studies (German/Spanish); key texts in French or German thought; short fiction (Spanish); Polish and Church Slavonic (Russian)",AAA,AAA,38 (including core points) with 666 at HL,38,"Studying Modern Languages provides both practical training in written and spoken language and an extensive introduction to literature and thought written in European languages.

As well as learning to write and speak the language(s) fluently, you can study a broad range of literature, or focus your studies on any period from the medieval to the present day.

A wide range of other options allow you to explore subjects including linguistics, philology, film or gender studies or (in French, German and Spanish) advanced translation.

"">Video of Modern Languages at Oxford University

Modern Languages have been taught in Oxford since 1724. The faculty is the largest in the country, with a total intake of more than 250 students a year (including joint courses).

Undergraduate students have access to the Taylor Institution Library, the biggest research library in Britain devoted to modern languages, and the University’s central library the Bodleian, as well as many online resources. The University’s well-equipped Language Centre has resources specifically tailored to the needs of Modern Language students.

Language is at the centre of the Oxford course, making up around 50% of both first-year and final examinations. The course aims to teach spoken fluency in colloquial and more formal situations, as well as the ability to write essays in the foreign language, and the ability to translate into and out of the foreign language with accuracy and sensitivity to a range of vocabulary, styles and registers. You will also develop your reading skills to a high level.

The study of literature gives you an understanding of other cultures that cannot be acquired solely through learning the language. It leads you into areas such as:

• gender studies
• popular culture
• theatre
• aesthetics
• anthropology
• art history
• ethics
• history
• philosophy
• politics
• psychology
• and religious studies.

These areas of study develop your skills as a critical reader, writer and thinker."
