uni_address,ukprn,university,kiscourseid,degree_type,programme,salary_respondents,salary_lq,salary_median,salary_uq,overall_rating,student_experience_rating,student_outcomes_rating,option_sandwich_year,option_year_abroad,option_foundation_year,option_distance_learning,crseurl,supporturl,lturl,employurl,qs_uni_name,rank,previous_rank,size,academic_rep,employer_rep,staff_to_student_ratio,employment_outcomes,overall_score
"University Offices, Wellington Square, Oxford, OX1 2JD",10007774,University of Oxford,V118,BA,Ancient and Modern History,60,27500,30000,35000,Gold,Gold,Gold,No,No,No,No,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/history-ancient-and-modern,https://www.ox.ac.uk/admissions/undergraduate/fees-and-funding?wssl=1,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/history-ancient-and-modern,https://public.tableau.com/views/UniversityofOxford-DLHESurvey/Whatalumnihavedone?:embed=y&:display_count=yes&:showTabs=y&:showVizHome=no,University of Oxford,4,3,L,100,100,100,100,97.9
"University Offices, Wellington Square, Oxford, OX1 2JD",10007774,University of Oxford,T601,BA,Arabic,65,26230.76923076923,29538.46153846154,33538.46153846154,Gold,Gold,Gold,No,Yes,No,No,http://www.ox.ac.uk/admissions/undergraduate/courses/oriental-studies/arabic,https://www.ox.ac.uk/admissions/undergraduate/fees-and-funding?wssl=1,http://www.ox.ac.uk/admissions/undergraduate/courses/oriental-studies/arabic,https://public.tableau.com/views/UniversityofOxford-DLHESurvey/Whatalumnihavedone?:embed=y&:display_count=yes&:showTabs=y&:showVizHome=no,University of Oxford,4,3,L,100,100,100,100,97.9
"University Offices, Wellington Square, Oxford, OX1 2JD",10007774,University of Oxford,LV64,BA,Archaeology and Anthropology,85,26647.058823529413,29764.70588235294,35117.64705882353,Gold,Gold,Gold,No,No,No,No,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/archaeology-and-anthropology,https://www.ox.ac.uk/admissions/undergraduate/fees-and-funding?wssl=1,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/archaeology-and-anthropology,https://public.tableau.com/views/UniversityofOxford-DLHESurvey/Whatalumnihavedone?:embed=y&:display_count=yes&:showTabs=y&:showVizHome=no,University of Oxford,4,3,L,100,100,100,100,97.9
"University Offices, Wellington Square, Oxford, OX1 2JD",10007774,University of Oxford,T9Q8,BA,Asian and Middle Eastern Studies and Classics,210,27261.904761904763,30654.761904761905,36547.619047619046,Gold,Gold,Gold,No,No,No,No,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/classics-and-asian-and-middle-eastern-studies,https://www.ox.ac.uk/admissions/undergraduate/fees-and-funding?wssl=1,http://www.ox.ac.uk/admissions/undergraduate/courses/modern-languages/subject-area-33%3A-other-languages-and-area-studies,https://public.tableau.com/views/UniversityofOxford-DLHESurvey/Whatalumnihavedone?:embed=y&:display_count=yes&:showTabs=y&:showVizHome=no,University of Oxford,4,3,L,100,100,100,100,97.9
"University Offices, Wellington Square, Oxford, OX1 2JD",10007774,University of Oxford,RR73,BA,Beginners' Italian and Czech (with Slovak),50,26000,30000,34000,Gold,Gold,Gold,No,Yes,No,No,http://www.ox.ac.uk/admissions/undergraduate/courses/modern-languages/subject-area-32%3A-european-languages-and-other-areas-studies,https://www.ox.ac.uk/admissions/undergraduate/fees-and-funding?wssl=1,http://www.ox.ac.uk/admissions/undergraduate/courses/modern-languages/subject-area-32%3A-european-languages-and-other-areas-studies,https://public.tableau.com/views/UniversityofOxford-DLHESurvey/Whatalumnihavedone?:embed=y&:display_count=yes&:showTabs=y&:showVizHome=no,University of Oxford,4,3,L,100,100,100,100,97.9
"University Offices, Wellington Square, Oxford, OX1 2JD",10007774,University of Oxford,QR13,BA,Beginners' Italian and Linguistics,145,25344.82758620689,28689.655172413797,34000,Gold,Gold,Gold,No,Yes,No,No,http://www.ox.ac.uk/admissions/undergraduate/courses/modern-languages/subject-area-32%3A-european-languages-and-other-areas-studies,https://www.ox.ac.uk/admissions/undergraduate/fees-and-funding?wssl=1,http://www.ox.ac.uk/admissions/undergraduate/courses/modern-languages/subject-area-32%3A-european-languages-and-other-areas-studies,https://public.tableau.com/views/UniversityofOxford-DLHESurvey/Whatalumnihavedone?:embed=y&:display_count=yes&:showTabs=y&:showVizHome=no,University of Oxford,4,3,L,100,100,100,100,97.9
"University Offices, Wellington Square, Oxford, OX1 2JD",10007774,University of Oxford,RR53,BA,Beginners' Italian and Portuguese,65,25538.46153846154,30000,34230.769230769234,Gold,Gold,Gold,No,Yes,No,No,http://www.ox.ac.uk/admissions/undergraduate/courses/modern-languages/modern-languages%3A-italian,https://www.ox.ac.uk/admissions/undergraduate/fees-and-funding?wssl=1,http://www.ox.ac.uk/admissions/undergraduate/courses/modern-languages/modern-languages%3A-italian,https://public.tableau.com/views/UniversityofOxford-DLHESurvey/Whatalumnihavedone?:embed=y&:display_count=yes&:showTabs=y&:showVizHome=no,University of Oxford,4,3,L,100,100,100,100,97.9
"University Offices, Wellington Square, Oxford, OX1 2JD",10007774,University of Oxford,RRJ7,BA,Beginners' Italian and Russian,50,26000,30000,34000,Gold,Gold,Gold,No,Yes,No,No,http://www.ox.ac.uk/admissions/undergraduate/courses/modern-languages/modern-languages%3A-italian,https://www.ox.ac.uk/admissions/undergraduate/fees-and-funding?wssl=1,http://www.ox.ac.uk/admissions/undergraduate/courses/modern-languages/modern-languages%3A-italian,https://public.tableau.com/views/UniversityofOxford-DLHESurvey/Whatalumnihavedone?:embed=y&:display_count=yes&:showTabs=y&:showVizHome=no,University of Oxford,4,3,L,100,100,100,100,97.9
"University Offices, Wellington Square, Oxford, OX1 2JD",10007774,University of Oxford,RR43,BA,Beginners' Italian and Spanish,65,25538.46153846154,30000,34230.769230769234,Gold,Gold,Gold,No,Yes,No,No,http://www.ox.ac.uk/admissions/undergraduate/courses/modern-languages/modern-languages%3A-italian,https://www.ox.ac.uk/admissions/undergraduate/fees-and-funding?wssl=1,http://www.ox.ac.uk/admissions/undergraduate/courses/modern-languages/modern-languages%3A-italian,https://public.tableau.com/views/UniversityofOxford-DLHESurvey/Whatalumnihavedone?:embed=y&:display_count=yes&:showTabs=y&:showVizHome=no,University of Oxford,4,3,L,100,100,100,100,97.9
"University Offices, Wellington Square, Oxford, OX1 2JD",10007774,University of Oxford,RR97,BA,Beginners' Modern Greek and Czech (with Slovak),50,26000,30000,34000,Gold,Gold,Gold,No,Yes,No,No,http://www.ox.ac.uk/admissions/undergraduate/courses/modern-languages/subject-area-32%3A-european-languages-and-other-areas-studies,https://www.ox.ac.uk/admissions/undergraduate/fees-and-funding?wssl=1,http://www.ox.ac.uk/admissions/undergraduate/courses/modern-languages/subject-area-32%3A-european-languages-and-other-areas-studies,https://public.tableau.com/views/UniversityofOxford-DLHESurvey/Whatalumnihavedone?:embed=y&:display_count=yes&:showTabs=y&:showVizHome=no,University of Oxford,4,3,L,100,100,100,100,97.9
