ukprn,kiscourseid,programme,crseurl
10007774,V118,Ancient and Modern History,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/history-ancient-and-modern
10007774,T601,Arabic,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/asian-and-middle-eastern-studies
10007774,LV64,Archaeology and Anthropology,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/archaeology-and-anthropology
10007774,T9Q8,Asian and Middle Eastern Studies and Classics,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/classics-and-asian-and-middle-eastern-studies
10007774,RR73,Beginners' Italian and Czech (with Slovak),https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,QR13,Beginners' Italian and Linguistics,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/linguistics
10007774,RR53,Beginners' Italian and Portuguese,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RRJ7,Beginners' Italian and Russian,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RR43,Beginners' Italian and Spanish,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RR97,Beginners' Modern Greek and Czech (with Slovak),https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,QQ72,Beginners' Modern Greek and Linguistics,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/linguistics
10007774,RRN7,Beginners' Portuguese and Czech (with Slovak),https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RQ5D,Beginners' Portuguese and Linguistics,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/linguistics
10007774,RR59,Beginners' Portuguese and Modern Greek,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RRNT,Beginners' Portuguese and Russian,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,C700,Biochemistry (Molecular and Cellular),http://www.ox.ac.uk/admissions/undergraduate/courses-listing/biochemistry-molecular-and-cellular
10007774,C100,Biology,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/biology
10007774,H811,Biomedical Engineering (4 years),http://www.ox.ac.uk/admissions/undergraduate/courses-listing/engineering-science
10007774,BC98,Biomedical Sciences,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/biomedical-sciences
10007774,H800,Chemical Engineering (4 years),http://www.ox.ac.uk/admissions/undergraduate/courses-listing/engineering-science
10007774,F100,Chemistry (4 years),https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/chemistry
10007774,T101,Chinese,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/asian-and-middle-eastern-studies
10007774,H200,Civil Engineering (4 years),http://www.ox.ac.uk/admissions/undergraduate/courses-listing/engineering-science
10007774,VV14,Classical Archaeology and Ancient History,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/classical-archaeology-and-ancient-history
10007774,Q800,Classics,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/classics
10007774,Q810,Classics II,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/classics
10007774,QQH8,Classics II and English,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/classics-and-english
10007774,Q8T9,Classics and Asian and Middle Eastern Studies,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/classics-and-asian-and-middle-eastern-studies
10007774,Q8R7,Classics and Beginners' Czech (with Slovak),https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/classics-and-modern-languages
10007774,QR38,Classics and Beginners' Italian,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/classics-and-modern-languages
10007774,QR8Y,Classics and Beginners' Modern Greek,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/classics-and-modern-languages
10007774,QR8N,Classics and Beginners' Portuguese,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/classics-and-modern-languages
10007774,QR87,Classics and Czech (with Slovak),https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/classics-and-modern-languages
10007774,QQ38,Classics and English,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/classics-and-english
10007774,QR81,Classics and French,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/classics-and-modern-languages
10007774,QR82,Classics and German,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/classics-and-modern-languages
10007774,QR83,Classics and Italian,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/classics-and-modern-languages
10007774,QQ87,Classics and Modern Greek,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/classics-and-modern-languages
10007774,QR85,Classics and Portuguese,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/classics-and-modern-languages
10007774,QRV7,Classics and Russian,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/classics-and-modern-languages
10007774,QR84,Classics and Spanish,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/classics-and-modern-languages
10007774,G400,Computer Science (3 or 4 years),https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/computer-science
10007774,IV15,Computer Science and Philosophy (3 or 4 years),http://www.ox.ac.uk/admissions/undergraduate/courses-listing/computer-science-and-philosophy
