kiscourseid,ukprn,url,coursetitle,modules,a_level_reqs,a_level_grades,ib_reqs,ib_grades,overview_text
UBAHISSANC18,10007784,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ancient-history-ba,Ancient History BA,"
 Writing Ancient History , , 
 Making History , , ","Grades
AAA
Subjects
History, Ancient History or Classical Civilisation required.
GCSEs
English Language at grade B or 6 and Mathematics at grade C or 4.

",AAA,"Points
38
Subjects
A total of 18 points in three higher level subjects including grade 6 in History, with no higher level score below 5.

",38,"The Department offers modules that span over 5,000 years of history, with specialisms in the history of the ancient Middle East and the Mediterranean, the Americas, Europe's cultural and intellectual history, and imperial and transnational history. "
UBALNGSANC18,10007784,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ancient-languages-ba,Ancient Languages BA,"
 Introduction to the Study of Language , , 
 Introduction to Biblical Hebrew , , ","Grades
ABB
Subjects
An ancient or modern language at grade A, unless an ancient and a modern language are offered at GCSE at grade C or above.
GCSEs
English Language and Mathematics at grade C or 4.

",ABB,"Points
34
Subjects
A total of 16 points in three higher level subjects, with no higher level score below 5, to include an ancient or modern language at grade 6 unless an ancient and a modern language are offered at GCSE at grade C or above.

",34,"The Ancient Languages BA provides students with an unrivalled opportunity to develop advanced knowledge of the ancient languages and cultures of the Near East and Europe. Undertaking this degree will unlock the key to a rich and varied range of past civilisations and to engage with them in their original languages, which include Hebrew, Greek, Latin, Akkadian, Sumerian, Ugaritic, Aramaic, Syriac, and Egyptian.  "
UBALNGSANA18,10007784,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ancient-languages-year-abroad-ba,Ancient Languages with Year Abroad BA,"
 Introduction to the Study of Language , , ","Grades
ABB
Subjects
An ancient or modern language at grade A, unless an ancient and a modern language are offered at GCSE at grade C or above.
GCSEs
English Language and Mathematics at grade C or 4.

",ABB,"Points
34
Subjects
A total of 16 points in three higher level subjects, with no higher level score below 5, to include an ancient or modern language at grade 6 unless an ancient and a modern language are offered at GCSE at grade C or above.

",34,"The Ancient Languages with Year Abroad BA provides students with an unrivalled opportunity to develop advanced knowledge of the ancient languages and cultures of the Near East and Europe. Undertaking this degree will unlock the key to a rich and varied range of past civilisations and to engage with them in their original languages, which include Hebrew, Greek, Latin, Akkadian, Sumerian, Ugaritic, Aramaic, Syriac, and Egyptian. "
UBSANTSING18,10007784,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/anthropology-bsc,Anthropology BSc,"
 Methods and Techniques in Biological Anthropology , , 
 Introduction to Material and Visual Culture , , 
 Introduction to Social Anthropology , , 
 Researching the Social World , , 
 Introduction to Biological Anthropology , , ","Grades
AAB
Subjects
No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.
GCSEs
English Language and Mathematics at grade C or 4, plus any Science (Single Science, Biology, Chemistry or Physics) required at grade B or 6 (Combined Science at grades 6, 6).

",AAB,"Points
36
Subjects
A total of 17 points in three higher level subjects, with no higher level score below 5.

",36,"





 









 




"
UBSANTWABR18,10007784,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/anthropology-year-abroad-bsc,Anthropology with a Year Abroad BSc,"
 Methods and Techniques in Biological Anthropology , , 
 Introduction to Material and Visual Culture , , 
 Introduction to Social Anthropology , , 
 Researching the Social World , , 
 Introduction to Biological Anthropology , , ","Grades
AAB
Subjects
No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.
GCSEs
English Language and Mathematics at grade C or 4, plus any Science (Single Science, Biology, Chemistry or Physics) required at grade B or 6 (Combined Science at grades 6, 6).

",AAB,"Points
36
Subjects
A total of 17 points in three higher level subjects, with no higher level score below 5.

",36,"





 









 




"
UBSMEDSAPP18,10007784,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/applied-medical-sciences-bsc,Applied Medical Sciences BSc,"
 Foundations in Human Physiology and Cellular Biology , , 
 Cardiovascular and Respiratory Function in Health and Disease , , 
 The Gut, Liver and Drug Metabolism , , 
 Kidneys, Hormones and Fluid Balance , , 
 Infection, Inflammation and Repair , , 
 Data Interpretation and Evaluation of Science , , 
 Musculoskeletal Systems in Health and Disease , , ","Grades
AAA
Subjects
Biology grade A required, plus one from Chemistry, Mathematics or Physics.
GCSEs
English Language and Mathematics at grade B or 6.

",AAA,"Points
38
Subjects
A total of 18 points in three higher level subjects including 6 in Biology and either Mathematics, Physics or Chemistry, with no higher level score below 5. For Mathematics, the programme will accept either 'Analysis and Approaches' or 'Applications and Interpretation' at higher level.

",38,"





 









 




"
UBAARLSING18,10007784,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-ba,Archaeology BA,"
 World Archaeology: The Deep History of Human Societies , , 
 Introduction to Social Anthropology , , 
 Introduction to Archaeology , , 
 Field Methods , , 
 Sites and Artefacts , , 
 People and Environments , , ","Grades
ABB
Subjects
No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.
GCSEs
English Language and Mathematics at grade C or 4.

",ABB,"Points
34
Subjects
A total of 16 points in three higher level subjects, with no higher level score below 5.

",34,"Archaeology at UCL offers a huge variety of optional modules, covering a diverse range of archaeological topics in both a theoretical and a practical manner.  "
UBSARLSING18,10007784,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-bsc,Archaeology BSc,"
 World Archaeology: The Deep History of Human Societies , , 
 Introduction to Social Anthropology , , 
 Introduction to Archaeology , , 
 Field Methods , , 
 Sites and Artefacts , , 
 People and Environments , , ","Grades
ABB
Subjects
No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.
GCSEs
English Language and Mathematics at grade C or 4.

",ABB,"Points
34
Subjects
A total of 16 points in three higher level subjects, with no higher level score below 5.

",34,"The Archaeology BSc focuses on scientific analysis. Students learn to apply analytical techniques used to investigate archaeological questions (such as petrography, elemental analysis, archaeobotany, spatial analysis, and conservation) and discuss the development of analytical projects (research proposal, literature review, methodology, sampling, analytical results, presentation and critique).  "
UBAARLSABR18,10007784,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-year-abroad-ba,Archaeology with a Year Abroad BA,"
 World Archaeology: The Deep History of Human Societies , , 
 People and Environments , , 
 Introduction to Social Anthropology , , 
 Introduction to Archaeology , , 
 Field Methods , , 
 Sites and Artefacts , , ","Grades
ABB
Subjects
No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.
GCSEs
English Language and Mathematics at grade C or 4.

",ABB,"Points
34
Subjects
A total of 16 points in three higher level subjects, with no higher level score below 5.

",34,"Core modules in the first year provide a grounding in the practical and theoretical methods in archaeology and an introduction to major issues in world prehistory. The second and final year provide a more advanced understanding of archaeology and theoretical approaches and allow you to develop your own specialised interests by choosing optional modules in particular subject areas. Your third year is spent studying abroad at one of our partner institutions, where you will study modules in archaeology and related subjects. This is an exciting opportunity to develop your understanding of the theory and practice of archaeology outside the UK. You will benefit from the expertise and advice of UCL’s Study Abroad Office as well as our departmental Study Abroad Tutor. You will need to be in good academic standing and linguistically competent for your exchange destination.  In the final year, you are given the chance to reflect critically on your fieldwork experience and the skills you have been developing during the degree through a portfolio, and write a 10,000-word dissertation on a detailed subject that you will choose, research and write up with the support of a supervisor. "
UBAARLAANT18,10007784,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-and-anthropology-ba,Archaeology and Anthropology BA,"
 Introduction to Material and Visual Culture , , 
 Introductory Social Anthropology 1 A , , 
 Introduction to Biological Anthropology II B , , 
 Introduction to Archaeology , , 
 Field Methods , , 
 Sites and Artefacts , , 
 World Archaeology: An Outline of the Deep History of Human Societies , , ","Grades
AAB
Subjects
No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.
GCSEs
English Language and Mathematics at grade C or 4.

",AAB,"Points
36
Subjects
A score of 17 points in three higher level subjects, with no higher level score below 5.

",36,"The Archaeology and Anthropology BA explores the development of human societies and human diversity around the world, analysing patterns of global social, cultural, economic and political change from Prehistory to the Early Modern Period. You will learn how archaeological evidence and ethnographic accounts help us to decipher the history of the places that we have inhabited and transformed over time to gain an understanding of how humans lived in the past and present. "
UBAARLSPLA18,10007784,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-placement-year-ba,Archaeology with a Placement Year BA,"
 Field Methods , , 
 World Archaeology: The Deep History of Human Societies , , 
 Introduction to Social Anthropology , , 
 Introduction to Archaeology , , 
 Sites and Artefacts , , 
 People and Environments , , ","Grades
ABB
Subjects
No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.
GCSEs
English Language and Mathematics at grade C or 4.

",ABB,"Points
34
Subjects
A total of 16 points in three higher level subjects, with no higher level score below 5.

",34,"This programme provides a foundation in theoretical archaeological approaches, practical methods and major issues in world prehistory. Throughout the degree you will be able to select optional modules that provide an in-depth study of particular geographical regions, time periods and archaeological materials. "
UBSARCSAIS18,10007784,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/architectural-and-interdisciplinary-studies-bsc,Architectural and Interdisciplinary Studies BSc,,"Grades
AAB
Subjects
No specific subjects. Comprehensive portfolio of creative work required upon invitation, at application stage. At least two A level subjects should be taken from UCL's list of preferred A level subjects.
GCSEs
English Language and Mathematics at grade C or 4.

",AAB,"Points
36
Subjects
A total of 17 points in three higher level subjects, with no higher level score below 5. No specific subjects are required but a comprehensive portfolio of creative work is required upon invitation, at application stage.

",36,"





 









 




"
