uni_address,ukprn,university,kiscourseid,degree_type,programme,salary_respondents,salary_lq,salary_median,salary_uq,overall_rating,student_experience_rating,student_outcomes_rating,option_sandwich_year,option_year_abroad,option_foundation_year,option_distance_learning,crseurl,supporturl,lturl,employurl,qs_uni_name,rank,previous_rank,size,academic_rep,employer_rep,staff_to_student_ratio,employment_outcomes,overall_score
"Gower Street, London, WC1E 6BT",10007784,University College London,UBAHISSANC18,BA,Ancient History,45,26000,30000,36000,Silver,Silver,Gold,No,No,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ancient-history-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ancient-history-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ancient-history-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ancient-history-ba,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBALNGSANC18,BA,Ancient Languages,10,25500,28500,35000,Silver,Silver,Gold,No,No,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ancient-languages-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ancient-languages-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ancient-languages-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ancient-languages-ba,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBALNGSANA18,BA,Ancient Languages,10,25500,28500,35000,Silver,Silver,Gold,No,Yes,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ancient-languages-year-abroad-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ancient-languages-year-abroad-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ancient-languages-year-abroad-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ancient-languages-year-abroad-ba,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBSANTSING18,BSc,Anthropology,15,26000,28000,34000,Silver,Silver,Gold,No,No,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/anthropology-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/anthropology-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/anthropology-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/anthropology-bsc,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBSANTWABR18,BSc,Anthropology,15,26000,28000,34000,Silver,Silver,Gold,No,Yes,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/anthropology-year-abroad-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/anthropology-year-abroad-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/anthropology-year-abroad-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/anthropology-year-abroad-bsc,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBSMEDSAPP18,BSc,Applied Medical Sciences,120,30000,34000,37000,Silver,Silver,Gold,No,No,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/applied-medical-sciences-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/applied-medical-sciences-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/applied-medical-sciences-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/applied-medical-sciences-bsc,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBAARLSING18,BA,Archaeology,80,26625,30125,35500,Silver,Silver,Gold,Yes,No,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-ba,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBSARLSING18,BSc,Archaeology,20,30000,36500,40000,Silver,Silver,Gold,No,No,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-bsc,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBAARLSABR18,BA,Archaeology,80,26625,30125,35500,Silver,Silver,Gold,No,Yes,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-year-abroad-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-year-abroad-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-year-abroad-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-year-abroad-ba,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBAARLAANT18,BA,Archaeology and Anthropology,35,28285.714285714286,32857.142857142855,37428.57142857143,Silver,Silver,Gold,No,No,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-and-anthropology-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-and-anthropology-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-and-anthropology-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-and-anthropology-ba,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBAARLSPLA18,BA,Archaeology with a Placement Year,80,26625,30125,35500,Silver,Silver,Gold,Yes,No,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-placement-year-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-placement-year-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-placement-year-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-placement-year-ba,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBSARCSAIS18,BSc,Architectural and Interdisciplinary Studies,30,25000,27500,32000,Silver,Silver,Gold,No,No,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/architectural-and-interdisciplinary-studies-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/architectural-and-interdisciplinary-studies-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/architectural-and-interdisciplinary-studies-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/architectural-and-interdisciplinary-studies-bsc,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBSARCSAIA18,BSc,Architectural and Interdisciplinary Studies,30,25000,27500,32000,Silver,Silver,Gold,No,Yes,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/architectural-and-interdisciplinary-studies-year-abroad-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/architectural-and-interdisciplinary-studies-year-abroad-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/architectural-and-interdisciplinary-studies-year-abroad-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/architectural-and-interdisciplinary-studies-year-abroad-bsc,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBSARCSING18,BSc,Architecture,30,25000,27500,32000,Silver,Silver,Gold,No,No,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/architecture-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/architecture-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/architecture-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/architecture-bsc,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UMSARCSING19,MSci,Architecture,30,25000,27500,32000,Silver,Silver,Gold,No,Yes,Yes,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/architecture-msci,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/architecture-msci,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/architecture-msci,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/architecture-msci,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBAARTATEC18,BA,Art and Technology,20,36500,52500,78000,Silver,Silver,Gold,No,No,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/art-and-technology-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/art-and-technology-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/art-and-technology-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/art-and-technology-ba,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBBASCSING18,BASc,Arts and Sciences,20,30000,32000,36500,Silver,Silver,Gold,No,No,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/arts-and-sciences-basc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/arts-and-sciences-basc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/arts-and-sciences-basc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/arts-and-sciences-basc,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBBASCSABR18,BASc,Arts and Sciences with Study Abroad,20,30000,32000,36500,Silver,Silver,Gold,No,Yes,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/arts-and-sciences-study-abroad-basc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/arts-and-sciences-study-abroad-basc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/arts-and-sciences-study-abroad-basc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/arts-and-sciences-study-abroad-basc,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBSASTSPHY18,BSc,Astrophysics,20,31000,33500,40000,Silver,Silver,Gold,No,Yes,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/astrophysics-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/astrophysics-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/astrophysics-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/astrophysics-bsc,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UMSASTSPHY18,MSci,Astrophysics,20,31000,33500,40000,Silver,Silver,Gold,No,No,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/astrophysics-msci,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/astrophysics-msci,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/astrophysics-msci,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/astrophysics-msci,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBSAUDSING18,BSc,Audiology,10,27500,30000,37500,Silver,Silver,Gold,No,Yes,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/audiology-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/audiology-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/audiology-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/audiology-bsc,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBLLAWSHKD18,LLB,Bachelor of Laws (UCL) and LLB Bachelor of Laws (University of Hong Kong),15,31000,48000,50000,Silver,Silver,Gold,No,Yes,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bachelor-laws-ucl-and-bachelor-laws-hku-llb,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bachelor-laws-ucl-and-bachelor-laws-hku-llb,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bachelor-laws-ucl-and-bachelor-laws-hku-llb,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bachelor-laws-ucl-and-bachelor-laws-hku-llb,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
